file_name,curiosity,neutral,optimism,approval,excitement,desire,confusion,caring,joy,admiration,love,realization,gratitude,surprise,annoyance,amusement,disapproval,relief,fear,anger,nervousness,disappointment,sadness,remorse,pride,disgust,grief,embarrassment
output_antiwork.csv,0.051491977986750405,0.45750353953747036,0.030668027050913777,0.10144978809095684,0.0061241979148062625,0.01051391035135371,0.042254079049880454,0.026395613002915395,0.01624127268612245,0.02864070552940694,0.009871043574410791,0.03267443581619545,0.01972718087400481,0.008982838094963268,0.08791903839188646,0.03264127014505344,0.07051805659559153,0.003209961252305261,0.00628513000757263,0.03123111201562159,0.002980462515314301,0.04282464612304712,0.023016513843323885,0.009136803802206845,0.0014541085099871495,0.009881377274531589,0.0011160131988664328,0.0038008132109806684
output_AskConservatives.csv,0.4662889929997879,0.12077836041299805,0.024672186985403195,0.03026096776029975,0.09669604914279682,0.010392899409865418,0.10700293377373948,0.11052987305062706,0.0597108484144025,0.021396862577414234,0.007360448012659971,0.007290695357469153,0.006629175166577951,0.023429815909382576,0.003741898395366892,0.01383565107142995,0.026071907719954025,0.001643416189129248,0.012083160199011964,0.005924705891157609,0.006380049870493646,0.009946191839655567,0.0048428785906321015,0.00075697314318568,0.002225942112032152,0.0060250478997373805,0.0024890980252096433,0.0006565641404913446
output_atheism.csv,0.45302303021643575,0.03542235023612229,0.1148743153795685,0.07558142716325057,0.024184028875405383,0.027277715076347443,0.050863710826342494,0.0726687268542997,0.010283968695639427,0.029466852048325703,0.008284547376796328,0.057062689241205895,0.01805731654418043,0.020571147538921117,0.03292254854948326,0.01159141770365133,0.018833424033934513,0.009801528846218793,0.010060695568197189,0.03364311684796568,0.0037692171371001104,0.0027991243840025932,0.017978655812754287,0.0029990081414292265,0.014766461826375081,0.001353699420861783,0.001114085054059001,0.007825911653390437
output_chemtrails.csv,0.07071795628649413,0.05015301616315933,0.06336397562614819,0.028577838068987765,0.483141936756988,0.015006777714237727,0.055874482418509855,0.0900576649682267,0.09115681692119976,0.01874577668212294,0.017776030778643,0.02315539837051752,0.002444076856073865,0.008044411216139236,0.003312931984386469,0.03746266119167902,0.009520407180716655,0.013849690474476815,0.015851481132516082,0.006579374829320352,0.0018707169725494146,0.00827772167079852,0.012338621135113624,0.016392152928643457,0.006192703226178773,0.01377516888876899,0.0010592103358607204,0.000849584146906099
output_communism.csv,0.4612144068903451,0.11690879676591358,0.03573816812063769,0.07998208849215284,0.09955824789585685,0.0231200593797151,0.045821253032221676,0.027285779742340917,0.11301316653531783,0.009767222544183387,0.008075980078623445,0.012556949087291581,0.03570231280403814,0.019836294366339647,0.009363948011320051,0.00789665559895084,0.005172470104349199,0.0039945852297295,0.04456954277910074,0.004664911019143369,0.008090853316429945,0.0016210097041406293,0.006764003846802111,0.0017625757553208497,0.01108729062730435,0.003737944194769483,0.0008008491110982966,0.000801075090320808
output_conspiracy.csv,0.4983664835483668,0.0955500503572707,0.06692245535806338,0.030303187617390325,0.06304682935764132,0.06439830164245862,0.011216136894565784,0.08322478043380557,0.019505025191225357,0.022930242550797543,0.02483679081306322,0.006584902710615836,0.04685305478022001,0.01510316271547903,0.009049660596909013,0.03040267929623981,0.006546435386511548,0.011275757738542915,0.007355989179582528,0.013289350869233068,0.011635758368870028,0.003499219971512339,0.0020234818375333484,0.0053547291514430455,0.008887033463356427,0.0017744830447088643,0.000871613347632214,0.0009574293633797448
output_COVID19_5G.csv,0.5450876460784266,0.11256390780807458,0.094693901521549,0.09220217894302504,0.002117062234563356,0.043534391479794064,0.0456013021622459,0.009040338317031089,0.016055037876656013,0.030344918133355204,0.01963889866872405,0.011392347164029681,0.009219255663527581,0.0033958497496800466,0.00510129544188177,0.0037042755888419816,0.008448470990325082,0.03504737787392679,0.0021665044092345305,0.012191097374070054,0.0029112939842296593,0.002116705005095688,0.008669093095683535,0.02515210428388194,0.000821793587229554,0.00154526090384104,0.04112468861760215,0.0007359451099884192
output_flatearth.csv,0.5142573305757634,0.06785354080768889,0.09176148425728202,0.03298809179640014,0.06295879751384156,0.07377182899240624,0.019984352762926684,0.013787642929236994,0.018007848097757788,0.03347679303979798,0.005666463158910655,0.04951604891980713,0.0109567568800868,0.011850419667024669,0.08273118643788879,0.007732818796490684,0.013159009202770673,0.003505255018350199,0.007387703580302218,0.0031450440734958375,0.005937955541969444,0.001506712474583352,0.011012995613958533,0.011682309705874363,0.0013617276900696087,0.0006640616046600242,0.005203348939838,0.0009074374887358117
output_FlatEarthIsReal.csv,0.11598515085771677,0.48081839247747393,0.08784402837809081,0.09253378402626301,0.016810165604978042,0.06636572716924911,0.07877766927738446,0.005214350966157916,0.01653936938309133,0.012695914528819293,0.018146408789966505,0.028334924643000733,0.029241844701261753,0.0169833539436036,0.010522746968290397,0.005717550820336361,0.004779290007614633,0.008316321658542899,0.00944253335376195,0.012448574327176951,0.0015305959272552464,0.002986263546746456,0.0031426543735983813,0.0013118693731644646,0.008277964488942309,0.05060757263237545,0.0006618837258652135,0.0007825584881339318
output_keto.csv,0.06462910730054452,0.03273862619106421,0.4085200176894934,0.04548585528921976,0.011734925149346471,0.1524483882431363,0.046151650694988805,0.01144941222259016,0.07929216450835277,0.02858456461112692,0.028021987431737387,0.025619757737756637,0.04246327907393891,0.041891175537876905,0.00900788112372013,0.006031093387720158,0.005222397066491669,0.005614285363921312,0.017029011176633583,0.023224379774618716,0.06058684647556299,0.007132515437942388,0.006758987253025026,0.029450107758614875,0.00115395446407821,0.005250429144347924,0.002484569388414737,0.0025320409433850933
