row,neutral,disapproval,approval,realization,annoyance,confusion,disappointment,optimism,anger,admiration,disgust,amusement,sadness,surprise,curiosity,caring,joy,fear,excitement,embarrassment,desire,relief,love,gratitude,nervousness,grief,remorse,pride
1,0.8097342252731323,0.2225341498851776,0.038748644292354584,0.025106707587838173,0.015461614355444908,0.007887449115514755,0.006009021773934364,0.0024033798836171627,0.0021000877022743225,0.0015320217935368419,0.0013456790475174785,0.0013263614382594824,0.0012850912753492594,0.001260583521798253,0.0011195131810382009,0.0010863199131563306,0.0009969884995371103,0.0006278567016124725,0.0006270267185755074,0.0006006431649439037,0.0005982555449008942,0.0005366399418562651,0.0005133117083460093,0.0004892835859209299,0.00029981834813952446,0.00025119827478192747,0.00023322812921833247,0.00020222275634296238
2,0.12124567478895187,0.1737656444311142,0.007294247858226299,0.011712703853845596,0.4129793047904968,0.002013314748182893,0.31223779916763306,0.0040051862597465515,0.10240738093852997,0.0011851376621052623,0.017597347497940063,0.0014657415449619293,0.03627476096153259,0.00213375361636281,0.0011974895605817437,0.0020989878103137016,0.0013911122223362327,0.0035872755106538534,0.0011045155115425587,0.013015631586313248,0.0025419946759939194,0.0009568703826516867,0.0006309706368483603,0.001032494124956429,0.0023553159553557634,0.001173299620859325,0.002219007583335042,0.0006004952010698617
3,0.40329796075820923,0.004512284882366657,0.0076941619627177715,0.004725190345197916,0.0073212189599871635,0.35726398229599,0.001848075888119638,0.0028847064822912216,0.0017029453301802278,0.001410088618285954,0.0008853597682900727,0.001323980512097478,0.0010161835234612226,0.00437451247125864,0.5058706998825073,0.0014668662333860993,0.0006832190556451678,0.0008555357344448566,0.0012744495179504156,0.000568747753277421,0.0010482650250196457,0.00013601493265014142,0.001254912349395454,0.0008371377480216324,0.00038994033820927143,0.00022175293997861445,0.00044602679554373026,4.899472332908772e-05
4,0.26477983593940735,0.011971510946750641,0.009574390947818756,0.008289920166134834,0.017317313700914383,0.3797754645347595,0.002094428287819028,0.00797214824706316,0.003913248889148235,0.0013522859662771225,0.0014727377565577626,0.10829216986894608,0.0013513582525774837,0.0026368042454123497,0.395231157541275,0.004301678854972124,0.008335837163031101,0.0009996816515922546,0.0015985325444489717,0.0013924224767833948,0.0014042851980775595,0.0005029828171245754,0.0013696854002773762,0.0008310461416840553,0.0008733710274100304,0.0003320064570289105,0.000993180787190795,0.00010648347961250693
5,0.15270981192588806,0.023410839959979057,0.018182868137955666,0.005516258999705315,0.01849335990846157,0.0988009050488472,0.007420867215842009,0.00493374140933156,0.005682344548404217,0.0037772110663354397,0.0020412567537277937,0.0020839066710323095,0.00477825291454792,0.005269385874271393,0.8251718878746033,0.007624365855008364,0.001452862867154181,0.001879244577139616,0.003221185877919197,0.0017185573233291507,0.0042089177295565605,0.0003918633738067001,0.0020103775896131992,0.0006527602672576904,0.0016894908621907234,0.0006236046319827437,0.0014999612467363477,9.874803072307259e-05
6,0.14688457548618317,0.02287488803267479,0.007032742723822594,0.006163600832223892,0.2474254071712494,0.0026251988019794226,0.0516192801296711,0.0014487188309431076,0.33536002039909363,0.002936147851869464,0.06636763364076614,0.002758616581559181,0.0810832679271698,0.0006234346656128764,0.00262820185162127,0.0032591656781733036,0.0010056208120658994,0.004176659509539604,0.0005545848398469388,0.019345257431268692,0.0014982454013079405,0.0004414755094330758,0.0015202542999759316,0.0007737163105048239,0.0014168863417580724,0.002295098500326276,0.0036139520816504955,0.0006967089138925076
7,0.10811564326286316,0.12664352357387543,0.010110348463058472,0.006633840501308441,0.44777366518974304,0.003775085089728236,0.023011455312371254,0.0035950113087892532,0.550944983959198,0.0016255667433142662,0.01996002532541752,0.0015320604434236884,0.0044112736359238625,0.002071630908176303,0.002180621726438403,0.0021212627179920673,0.0013546409318223596,0.0013015863951295614,0.0010329359211027622,0.002884028945118189,0.0013916839379817247,0.00033716135658323765,0.000827091047540307,0.001288077561184764,0.0004435016307979822,0.0005505930166691542,0.0006184366066008806,0.0004903574590571225
8,0.025677649304270744,0.10723569244146347,0.032154880464076996,0.00835947785526514,0.18992944061756134,0.006586030125617981,0.04865076765418053,0.02908703312277794,0.15383899211883545,0.009705190546810627,0.052244529128074646,0.0064655933529138565,0.00466391583904624,0.004393679555505514,0.005378812085837126,0.003899266943335533,0.0070697106420993805,0.0024220782797783613,0.008674629032611847,0.0034875315614044666,0.11520501226186752,0.0006620125495828688,0.6600416898727417,0.001963326707482338,0.0012151628034189343,0.0007569856243208051,0.0017158164409920573,0.0010843405034393072
9,0.13401861488819122,0.8760898113250732,0.02352912724018097,0.012820133939385414,0.043142568320035934,0.007211819291114807,0.020682495087385178,0.008435338735580444,0.010041683912277222,0.003255626419559121,0.0030378741212189198,0.002815990475937724,0.005672131665050983,0.0033314290922135115,0.0018019583076238632,0.006441159173846245,0.0035680211149156094,0.001375593594275415,0.002203538781031966,0.0015164866345003247,0.002718681702390313,0.0016069577541202307,0.001956556923687458,0.0038285115733742714,0.00069579784758389,0.0006613973528146744,0.0012705880217254162,0.000542694004252553
10,0.33681464195251465,0.0082284826785326,0.0038699517026543617,0.003510010428726673,0.015135938301682472,0.2911568582057953,0.0054739657789468765,0.002261530375108123,0.003281972138211131,0.0012417915277183056,0.0013509136624634266,0.0012031306978315115,0.002343900501728058,0.005674170330166817,0.567618727684021,0.0017417620401829481,0.0006229217979125679,0.0011252209078520536,0.0012834894005209208,0.0010671548079699278,0.0013497259933501482,0.00012735500058624893,0.0009168590768240392,0.0006599211483262479,0.0006564278737641871,0.00035319625749252737,0.000795471016317606,4.691876893048175e-05
11,0.6793183088302612,0.0039468384347856045,0.3555421233177185,0.04816717281937599,0.006543110124766827,0.0025613519828766584,0.002613925375044346,0.03627995029091835,0.0008384630200453103,0.004613774828612804,0.0005958237452432513,0.0009584593353793025,0.0009183278889395297,0.0007261501159518957,0.001406582654453814,0.003811407834291458,0.0012765536084771156,0.0004263439914211631,0.0008461959077976644,0.0002768129634205252,0.001716624479740858,0.0012777718948200345,0.0007490487187169492,0.0008080332190729678,0.00027155899442732334,0.00022362179879564792,0.0003517540171742439,0.0005830578156746924
12,0.012625769712030888,0.020945565775036812,0.011664675548672676,0.008192798122763634,0.14713475108146667,0.006924307439476252,0.028756452724337578,0.005205321591347456,0.18713949620723724,0.05749785155057907,0.027319930493831635,0.005722604226320982,0.0065335980616509914,0.012407023459672928,0.005135267972946167,0.0030385558493435383,0.010789991356432438,0.0019401772879064083,0.007396867498755455,0.0026038724463433027,0.005679432302713394,0.0004499643691815436,0.8410434722900391,0.0026274421252310276,0.0011880072997882962,0.001014718902297318,0.0009486769558861852,0.0009729873854666948
13,0.5955454707145691,0.09408263862133026,0.017949843779206276,0.017088353633880615,0.19709527492523193,0.0011523585999384522,0.0986955314874649,0.0024477760307490826,0.019699178636074066,0.0010276046814396977,0.008083144202828407,0.0015757408691570163,0.012956731952726841,0.0005980056012049317,0.0006156519521027803,0.0015738732181489468,0.0009978451998904347,0.0011846674606204033,0.0005447132862173021,0.007363695651292801,0.0012295925989747047,0.000835006358101964,0.00040149540291167796,0.0006336044170893729,0.0009128994424827397,0.0006994744762778282,0.001089148805476725,0.0004991916357539594
14,0.2847154438495636,0.06543957442045212,0.021789301186800003,0.013323117047548294,0.5977487564086914,0.0015731368912383914,0.07431617379188538,0.002767435275018215,0.1082659512758255,0.002231075894087553,0.04185684397816658,0.0017867226852104068,0.0037911515682935715,0.0009589717374183238,0.0008553180960007012,0.0010758907301351428,0.0006095454446040094,0.0007177065126597881,0.0005607193452306092,0.0068815709091722965,0.0015052841044962406,0.00039976093103177845,0.0007660624687559903,0.0009048445499502122,0.0004077351768501103,0.00041312581743113697,0.0007395091815851629,0.0006132576381787658
15,0.9677971005439758,0.003989539574831724,0.013467933051288128,0.005130164325237274,0.006420846562832594,0.002346524503082037,0.0030531599186360836,0.0017277637962251902,0.00288298144005239,0.0037761235143989325,0.00228823977522552,0.0023676655255258083,0.0021941065788269043,0.0009948796359822154,0.0015699040377512574,0.0010279082925990224,0.0023410499561578035,0.0014834998873993754,0.0026338212192058563,0.0007187167648226023,0.0011564564192667603,0.0003490490198601037,0.001475019846111536,0.001052706502377987,0.0003279680386185646,0.0004601016698870808,0.00036925525637343526,0.00039903237484395504
16,0.12768305838108063,0.08926183730363846,0.01828279346227646,0.011623813770711422,0.026219451799988747,0.002969546942040324,0.011158051900565624,0.0030910067725926638,0.0036545610055327415,0.0014349704142659903,0.0033237419556826353,0.0012935373233631253,0.008007132448256016,0.0012818359537050128,0.0010079900966957211,0.004250843543559313,0.0018194745061919093,0.0007040291675366461,0.0009549600654281676,0.004692856688052416,0.0017341750208288431,0.004516200162470341,0.0008274197462014854,0.7585042119026184,0.00031329997000284493,0.001181562663987279,0.02759266458451748,0.0009401261922903359
