row,curiosity,optimism,neutral,caring,desire,approval,confusion,excitement,admiration,love,joy,annoyance,disapproval,realization,surprise,fear,nervousness,anger,sadness,disappointment,gratitude,relief,remorse,amusement,grief,disgust,pride,embarrassment
1,0.6164851188659668,0.16622230410575867,0.15661807358264923,0.10684805363416672,0.09618610888719559,0.07521365582942963,0.031610213220119476,0.025583263486623764,0.012700769118964672,0.010001230984926224,0.008196534588932991,0.005425067152827978,0.004324267152696848,0.004292177967727184,0.0038021220825612545,0.0031687687151134014,0.0025012195110321045,0.0022010700777173042,0.002148614963516593,0.00213229819200933,0.002124407095834613,0.0016432342818006873,0.001400553621351719,0.0013818179722875357,0.0007300207507796586,0.0006625919486396015,0.0005545837921090424,0.00040858922875486314
2,0.0011636429699137807,0.0064927865751087666,0.13497483730316162,0.005261955317109823,0.008492246270179749,0.1778939962387085,0.0013693978544324636,0.03229719027876854,0.028713487088680267,0.5632064938545227,0.1952270269393921,0.003436642000451684,0.0022722722496837378,0.01514833141118288,0.002252248115837574,0.000831139215733856,0.001032743020914495,0.001315944129601121,0.0027250072453171015,0.003113084239885211,0.001931854523718357,0.005466619040817022,0.0007810303359292448,0.002207027515396476,0.0007472204160876572,0.001199802616611123,0.0037353457883000374,0.0006928585353307426
3,0.0008627294446341693,0.0026503419503569603,0.9363137483596802,0.004269280005246401,0.0016915317391976714,0.042313557118177414,0.0007156830979511142,0.0013206814182922244,0.004949960857629776,0.0024466700851917267,0.0015644149389117956,0.006686903536319733,0.0016992924502119422,0.005052739288657904,0.00031931500416249037,0.0010584802366793156,0.00035282858880236745,0.0016417860751971602,0.0021841127891093493,0.002277067396789789,0.0007045254460535944,0.0005169121432118118,0.00027030386263504624,0.0009208754054270685,0.0003072075196541846,0.0019447837257757783,0.0003713688056450337,0.0003300381649751216
4,0.039168547838926315,0.003738335333764553,0.18926267325878143,0.0036302783992141485,0.0008919744868762791,0.05656229332089424,0.036808378994464874,0.0015513240359723568,0.001767501700669527,0.0005985150346532464,0.001446420792490244,0.011757275089621544,0.010708119720220566,0.009886943735182285,0.0015039859572425485,0.0003443602181505412,0.00026729670935310423,0.0018706164555624127,0.0006757458904758096,0.0012664486421272159,0.5822898745536804,0.0013712798245251179,0.00089503254275769,0.0009532655240036547,0.00026290322421118617,0.0007209713221527636,0.0002788010169751942,0.0005416178028099239
5,0.0006866198964416981,0.0026170287746936083,0.8818875551223755,0.00549359479919076,0.004947211127728224,0.01923340931534767,0.001114419661462307,0.0012555968714877963,0.0009492062381468713,0.002175672212615609,0.0021353259216994047,0.05080795660614967,0.024692699313163757,0.014447723515331745,0.0005748913972638547,0.0013042525388300419,0.0010019190376624465,0.005878691095858812,0.007831393741071224,0.021193375810980797,0.00036086823092773557,0.001086868578568101,0.0005395811749622226,0.0006705920677632093,0.0006372310454025865,0.002783482428640127,0.0004648387257475406,0.0009979592869058251
6,0.0008519989787600935,0.001975333085283637,0.8225446939468384,0.002839647000655532,0.0005528387264348567,0.02455477975308895,0.0014016344211995602,0.000764121999964118,0.0012551610125228763,0.0003352929197717458,0.0013690072810277343,0.03171995282173157,0.03336133435368538,0.01052174624055624,0.0007079543429426849,0.0005616626003757119,0.000262552552158013,0.0034698809031397104,0.0026277932338416576,0.006120680365711451,0.012823278084397316,0.001458585960790515,0.0020846484694629908,0.001786386827006936,0.0005426316638477147,0.001921141054481268,0.0005445118877105415,0.002656814642250538
7,0.008321072906255722,0.043654587119817734,0.052137237042188644,0.0018865193706005812,0.1116722896695137,0.09256873279809952,0.0019352961098775268,0.17425334453582764,0.01261893566697836,0.07414078712463379,0.03657299652695656,0.0051915766671299934,0.003962200600653887,0.023538291454315186,0.018527349457144737,0.002108730375766754,0.002031384501606226,0.001201676670461893,0.0063787903636693954,0.00779068423435092,0.000535419094376266,0.0019161681411787868,0.001210415968671441,0.026503389701247215,0.0008939062245190144,0.003499802900478244,0.0018451211508363485,0.0017618687124922872
8,0.0014246811624616385,0.010304505936801434,0.18194259703159332,0.0035291367676109076,0.0033093965612351894,0.44998452067375183,0.0012636369792744517,0.00678266491740942,0.2335931956768036,0.23299798369407654,0.011023334227502346,0.00358634814620018,0.003682763082906604,0.01289705652743578,0.0008981879218481481,0.0004044756933581084,0.00019688406609930098,0.000818081374745816,0.0007226844900287688,0.001805448206141591,0.000691708642989397,0.0011730833211913705,0.00026264743064530194,0.002373797120526433,0.00020523846615105867,0.0009614445734769106,0.001776574063114822,0.0002952365030068904
9,0.004131597466766834,0.11153630167245865,0.7230286002159119,0.002490254584699869,0.10145550221204758,0.05341464653611183,0.005603047553449869,0.004480201750993729,0.002627951791509986,0.0034886887297034264,0.003197471611201763,0.004401447717100382,0.003224837826564908,0.013483705930411816,0.0006288688164204359,0.0008480467949993908,0.0004408452950883657,0.0010263366857543588,0.0010502722579985857,0.002714891219511628,0.0010319906286895275,0.0006237038760446012,0.0005161047447472811,0.002400123979896307,0.0002571346121840179,0.001034257817082107,0.00044542131945490837,0.0002201864990638569
10,0.000679158722050488,0.00393105810508132,0.8256226778030396,0.006277093198150396,0.0016614990308880806,0.12102197110652924,0.0010575327323749661,0.0038114238996058702,0.004230870399624109,0.0008363229571841657,0.013692413456737995,0.015338785946369171,0.045987408608198166,0.014694711193442345,0.0005912331398576498,0.0007238127873279154,0.0007116547203622758,0.0011870452435687184,0.0027283017989248037,0.006499618757516146,0.0008216723217628896,0.004801440052688122,0.0002682556223589927,0.0013148998841643333,0.0003544993815012276,0.000841036788187921,0.001027350197546184,0.0005338795599527657
