row,curiosity,neutral,confusion,approval,gratitude,annoyance,disapproval,desire,optimism,caring,disappointment,realization,admiration,anger,sadness,excitement,disgust,remorse,surprise,joy,relief,embarrassment,fear,nervousness,love,amusement,grief,pride
1,0.25788313150405884,0.2072814255952835,0.056222595274448395,0.05046645179390907,0.038123250007629395,0.03309376537799835,0.02080344595015049,0.00909189973026514,0.00875724758952856,0.00836875569075346,0.0077666183933615685,0.006319881416857243,0.0036521346773952246,0.0027392362244427204,0.0018626898527145386,0.0016481588827446103,0.0016389850061386824,0.0013126176781952381,0.0012862104922533035,0.0009966979268938303,0.0009601753554306924,0.0008915959624573588,0.0006963553605601192,0.0006864108145236969,0.0005965448217466474,0.0005778308841399848,0.0003954258863814175,0.0002316369500476867
2,0.3379344344139099,0.15340684354305267,0.08261147886514664,0.4962714910507202,0.0008796392939984798,0.03233255073428154,0.027821287512779236,0.0029583373107016087,0.016357557848095894,0.008168721571564674,0.012078158557415009,0.017477184534072876,0.028582027181982994,0.004236418288201094,0.0023834523744881153,0.002143650082871318,0.002672632224857807,0.000997759634628892,0.002209474565461278,0.0007766533526591957,0.0009001811849884689,0.0011072129709646106,0.0013669754844158888,0.0010443073697388172,0.0025353163946419954,0.0007396473083645105,0.00043426896445453167,0.0003961251932196319
3,0.35410216450691223,0.49875345826148987,0.04500551149249077,0.04728594049811363,0.000589177361689508,0.01691247895359993,0.017032666131854057,0.029187850654125214,0.015407470986247063,0.009807450696825981,0.0035297877620905638,0.004347621463239193,0.00269532878883183,0.0028963403310626745,0.001271882327273488,0.0017125061713159084,0.0009101995965465903,0.0006036512786522508,0.0010956930927932262,0.0008390815928578377,0.00033153488766402006,0.000368261244148016,0.0006543478812091053,0.0004992354079149663,0.0013711152132600546,0.0007295901887118816,0.0002552070945966989,0.00015374041686300188
4,0.12770134210586548,0.18693093955516815,0.08478027582168579,0.029236340895295143,0.000223609633394517,0.4501568078994751,0.03375421464443207,0.005138872656971216,0.004032874014228582,0.0017579415580257773,0.10666273534297943,0.040516700595617294,0.0011609707726165652,0.03757566958665848,0.019005322828888893,0.001353852916508913,0.17352619767189026,0.0014568583574146032,0.0046284920535981655,0.0010001289192587137,0.0007097380002960563,0.036786679178476334,0.007261605933308601,0.005736394785344601,0.0012777463998645544,0.0037676896899938583,0.0014551128260791302,0.0003092625120189041
5,0.0005888391169719398,0.24821260571479797,0.001859863055869937,0.02748863771557808,0.005519194528460503,0.474139928817749,0.1740870177745819,0.0018410279881209135,0.003937407862395048,0.00283808377571404,0.05400336906313896,0.03268786147236824,0.0018756436184048653,0.04413053020834923,0.00345080834813416,0.000811468402389437,0.008283094502985477,0.0012954206904396415,0.0010943287052214146,0.0018400923581793904,0.001715012127533555,0.006363359745591879,0.0005561721045523882,0.0005488829920068383,0.0003080698079429567,0.0014054886996746063,0.0005879558739252388,0.0013172689359635115
6,0.000873242795933038,0.6255547404289246,0.009500958025455475,0.041834648698568344,0.001158272149041295,0.038553524762392044,0.38362744450569153,0.0008751315763220191,0.003710071789100766,0.0017518921522423625,0.009342067874968052,0.026522448286414146,0.0009574047289788723,0.003671148559078574,0.0012035456020385027,0.00042959710117429495,0.0017951627960428596,0.00041940214578062296,0.0005840278463438153,0.001014451147057116,0.0005839824443683028,0.0008757705800235271,0.0004710111243184656,0.00030022283317521214,0.0005539965350180864,0.0018460310529917479,0.0002292941207997501,0.00023289991077035666
7,0.0006307830917648971,0.6906200647354126,0.0022314749658107758,0.046356815844774246,0.0008963621803559363,0.11151936650276184,0.2273688018321991,0.0011300832265987992,0.004455910064280033,0.005781183484941721,0.015259710140526295,0.022954696789383888,0.0014171021757647395,0.007706429343670607,0.0017811506986618042,0.00034491484984755516,0.002041599480435252,0.0004794882261194289,0.00038956227945163846,0.0007024102960713208,0.0007665692828595638,0.0010365057969465852,0.0003898193535860628,0.0003308317100163549,0.0003995144506916404,0.0009243512176908553,0.0003124290087725967,0.0003912946558557451
8,0.0007219318067654967,0.5261943340301514,0.0024953624233603477,0.5244430899620056,0.001890529994852841,0.009286618791520596,0.03335503116250038,0.0014659997541457415,0.01002046000212431,0.004829944111406803,0.0018920772708952427,0.024842670187354088,0.00478707067668438,0.0012659903150051832,0.0006545244250446558,0.0006262288079597056,0.0008014445775188506,0.00026966139557771385,0.0002855870989151299,0.0010533068561926484,0.0011603261809796095,0.00020831981964875013,0.000303935055853799,0.0001798317243810743,0.0017464634729549289,0.0007413635030388832,0.0001711219229036942,0.0005266831140033901
9,0.0006306532304733992,0.3814059793949127,0.002270591678097844,0.5848548412322998,0.004894810263067484,0.008762638084590435,0.02869146689772606,0.0011717488523572683,0.01919972524046898,0.0033159980084747076,0.003275000723078847,0.02390105649828911,0.04014973342418671,0.0012122973566874862,0.0005347843398340046,0.000593953242059797,0.0007676788954995573,0.00030996088753454387,0.000376953452359885,0.0007981908856891096,0.0010937470942735672,0.00022424205963034183,0.0002936938253697008,0.0001257343392353505,0.001494370517320931,0.0005374963511712849,0.00017432129243388772,0.001139419386163354
10,0.0027570072561502457,0.007576828822493553,0.0022493000142276287,0.017927121371030807,0.9901962280273438,0.005576238036155701,0.003093021921813488,0.0023327411618083715,0.012563747353851795,0.006031089462339878,0.001463315449655056,0.005030086264014244,0.008408785797655582,0.0016180765815079212,0.002309157745912671,0.0026526697911322117,0.0011137165129184723,0.0027012983337044716,0.0011479072272777557,0.0033581643365323544,0.0023417340125888586,0.0005864248960278928,0.0006076054996810853,0.0002888740273192525,0.0018611815758049488,0.0029813218861818314,0.0005326594109646976,0.000633752963040024
11,0.002571817021816969,0.6742348074913025,0.004654423333704472,0.3123895227909088,0.0009498332510702312,0.012242353521287441,0.04377366974949837,0.001087203505448997,0.008649561554193497,0.006743884179741144,0.0009501074091531336,0.010070987045764923,0.0026300910394638777,0.002225901698693633,0.00046682782704010606,0.0011666574282571673,0.0005686905351467431,0.00016899241018109024,0.00035506507265381515,0.0019946119282394648,0.0007997939828783274,0.00017205695621669292,0.0003124093636870384,0.0001939363282872364,0.000911983079276979,0.0019352076342329383,0.00012949529627803713,0.0002769948623608798
