row,approval,neutral,caring,optimism,realization,disapproval,admiration,annoyance,relief,desire,disappointment,confusion,gratitude,sadness,love,pride,joy,remorse,fear,anger,nervousness,excitement,grief,disgust,curiosity,surprise,embarrassment,amusement
1,0.41916951537132263,0.2715955078601837,0.14842846989631653,0.1453476995229721,0.08083851635456085,0.052101947367191315,0.016520420089364052,0.009762049652636051,0.008192801848053932,0.00671365624293685,0.005152062978595495,0.003632906125858426,0.003267348511144519,0.002810149220749736,0.0027356527280062437,0.0026958673261106014,0.00245809368789196,0.0017052377806976438,0.0015918267890810966,0.0015143140917643905,0.0011364807141944766,0.0010801315074786544,0.0008975364617072046,0.0008845548727549613,0.0008247260702773929,0.0006997835007496178,0.0006961497128941119,0.0006759063107892871
2,0.01779940351843834,0.013841591775417328,0.03277511149644852,0.16078825294971466,0.00602872297167778,0.0058929710648953915,0.007342266850173473,0.01227546576410532,0.004582056310027838,0.5284138321876526,0.006624037399888039,0.003972294274717569,0.8947660326957703,0.011256172321736813,0.007301488425582647,0.002218673937022686,0.007150696124881506,0.01550514716655016,0.0023988080210983753,0.0039064520969986916,0.0018316617934033275,0.008618118241429329,0.002221729839220643,0.0037051402032375336,0.00855378806591034,0.0016178525984287262,0.0013625199208036065,0.003528063651174307
3,0.07449015229940414,0.5224380493164062,0.007538263686001301,0.00926230102777481,0.061472196131944656,0.1340501308441162,0.0009292459581047297,0.07148575037717819,0.001577504095621407,0.0016386705683544278,0.03461098298430443,0.1451544314622879,0.0007208638126030564,0.0043667457066476345,0.0007023286307230592,0.0004680574347730726,0.0011221632594242692,0.0016421886393800378,0.0018861566204577684,0.0052777728997170925,0.0027789368759840727,0.0003593571891542524,0.000595034915022552,0.002359903184697032,0.0031035819556564093,0.0008700999896973372,0.0022096806205809116,0.0004140434612054378
4,0.011227513663470745,0.7717304825782776,0.0011973383370786905,0.001900492119602859,0.011780117638409138,0.19230259954929352,0.0009264042600989342,0.08240509033203125,0.0003018717106897384,0.0006830078200437129,0.015840580686926842,0.0032309992238879204,0.00043500500032678246,0.0022136096376925707,0.0004131979076191783,0.00021962393657304347,0.0007414656574837863,0.000480601069284603,0.000529991986695677,0.015304003842175007,0.0003077633155044168,0.0004672614741139114,0.00030925925238989294,0.0027242207434028387,0.0008922359556891024,0.0008971111383289099,0.0017453025793656707,0.0020565874874591827
5,0.16278688609600067,0.2829122841358185,0.0032899242360144854,0.01335220132023096,0.015368039719760418,0.012364384718239307,0.02373303286731243,0.007903342135250568,0.0006110647227615118,0.00343409669585526,0.004756696056574583,0.22746171057224274,0.00039214850403368473,0.0016321409493684769,0.0032477504573762417,0.00024008943000808358,0.0016232050256803632,0.0005819524521939456,0.0011138183763250709,0.0013765515759587288,0.0007565059931948781,0.004481233656406403,0.00035523163387551904,0.0012866472825407982,0.5065450668334961,0.004155855160206556,0.0006420445279218256,0.0011574560776352882
6,0.1693340539932251,0.1349276751279831,0.003911292180418968,0.006913329008966684,0.6088653802871704,0.014944382943212986,0.0076310294680297375,0.09061744064092636,0.018606245517730713,0.0024226855020970106,0.16172745823860168,0.002725595608353615,0.0019598661456257105,0.092851422727108,0.03631778433918953,0.009115858934819698,0.015575799159705639,0.015438606962561607,0.006298721767961979,0.012700368650257587,0.010749985463917255,0.001979309832677245,0.006567406002432108,0.008105253800749779,0.00042419901001267135,0.00787957664579153,0.039055485278367996,0.005392628256231546
7,0.03328169509768486,0.04250410944223404,0.006289768032729626,0.004158156458288431,0.008831200189888477,0.043474212288856506,0.004695534706115723,0.5742039084434509,0.003358434187248349,0.0020413226447999477,0.015919093042612076,0.0032255444675683975,0.17823049426078796,0.0032218152191489935,0.0008099503465928137,0.0021449693012982607,0.00762545969337225,0.001064005889929831,0.0010910248383879662,0.3172414004802704,0.0007292663212865591,0.002571358345448971,0.0009245427791029215,0.021202320232987404,0.001990366028621793,0.001714916666969657,0.004497527610510588,0.002616145182400942
8,0.006889588665217161,0.4436807334423065,0.002894272329285741,0.0035832636058330536,0.004880590829998255,0.006313667166978121,0.0010948505951091647,0.011442413553595543,0.0001675437524681911,0.0013003009371459484,0.003910153638571501,0.25457409024238586,0.000537693384103477,0.002100529382005334,0.0009854973759502172,4.7013814764795825e-05,0.0006613932200707495,0.0007832402479834855,0.000997398397885263,0.002153029665350914,0.0006099147140048444,0.0008804276003502309,0.00032584191649220884,0.0009718552464619279,0.5204727649688721,0.0032333098351955414,0.000806467782240361,0.0012731082970276475
9,0.00413966691121459,0.32985103130340576,0.001345470198430121,0.002097731688991189,0.006340267136693001,0.02726167067885399,0.0012396796373650432,0.055990610271692276,0.00016503193182870746,0.0008599110879004002,0.014204280450940132,0.4649335443973541,0.0005414038896560669,0.00283520994707942,0.0006943491753190756,7.359596929745749e-05,0.0008319957414641976,0.000738578091841191,0.0012840812560170889,0.008763810619711876,0.0010260756826028228,0.0011562845902517438,0.00048380292719230056,0.0031451645772904158,0.4482361078262329,0.008621671237051487,0.0030451917555183172,0.001964349066838622
10,0.04207835718989372,0.02626059204339981,0.006111732684075832,0.02091677300632,0.010502680204808712,0.039552588015794754,0.8504413366317749,0.0475480891764164,0.0010756985284388065,0.002519411500543356,0.12023285776376724,0.08548136055469513,0.003162471577525139,0.016988765448331833,0.004935373552143574,0.0019339113496243954,0.002426047343760729,0.0024276322219520807,0.0022050635889172554,0.016562307253479958,0.0026111954357475042,0.004251636564731598,0.002603375818580389,0.0050182705745100975,0.2835911214351654,0.006301978603005409,0.0032816585153341293,0.0031041749753057957
