row,neutral,admiration,approval,realization,optimism,pride,excitement,annoyance,gratitude,disappointment,joy,disapproval,relief,caring,desire,surprise,sadness,love,disgust,fear,anger,curiosity,confusion,amusement,grief,embarrassment,nervousness,remorse
1,0.4572851061820984,0.3796812891960144,0.24375562369823456,0.019755098968744278,0.01841442473232746,0.010485166683793068,0.008866069838404655,0.005342896096408367,0.004621485248208046,0.004495182074606419,0.004260594956576824,0.003235264914110303,0.003042568452656269,0.0028680951800197363,0.002839578315615654,0.0016554774483665824,0.0010114102624356747,0.0009429734782315791,0.0007129241130314767,0.0006707645952701569,0.000627891393378377,0.0006239949143491685,0.000572488468606025,0.0005485262954607606,0.00042039199615828693,0.000403748796088621,0.0003417635743971914,0.00029793858993798494
2,0.11592372506856918,0.5650613307952881,0.2469622790813446,0.01651136577129364,0.025603318586945534,0.01798205077648163,0.01677320897579193,0.0038895593024790287,0.012221095152199268,0.003484268207103014,0.0830729678273201,0.004367514979094267,0.01180468499660492,0.00583156431093812,0.005976918153464794,0.0011102055432274938,0.0009347827290184796,0.0060560437850654125,0.00048190989764407277,0.0003859088756144047,0.0007195154903456569,0.0006516398279927671,0.0009911884553730488,0.0010133156320080161,0.0005491873016580939,0.000314178760163486,0.0003723305417224765,0.00039410911267623305
3,0.49773555994033813,0.028897615149617195,0.12059593945741653,0.05007607117295265,0.00505252368748188,0.00515160383656621,0.0818234235048294,0.008609823882579803,0.0003974820428993553,0.005168846342712641,0.006128131411969662,0.006725712213665247,0.002009607618674636,0.001121269422583282,0.0018552037654444575,0.03955035284161568,0.001620971830561757,0.005629445426166058,0.0016859711613506079,0.002129957778379321,0.001708846539258957,0.0018048477359116077,0.0011359135387465358,0.0020187036134302616,0.0007437216117978096,0.0025169034488499165,0.0009632045985199511,0.0003901712188962847
4,0.6564007997512817,0.0030277702026069164,0.013802223838865757,0.04458500072360039,0.013937881216406822,0.0006098641897551715,0.005944621283560991,0.09352752566337585,0.000418048381106928,0.027014847844839096,0.0017223794711753726,0.10048257559537888,0.000880739651620388,0.0005729961558245122,0.0018425296293571591,0.1418032944202423,0.0008938437094911933,0.0002819762739818543,0.003708468284457922,0.001524713123217225,0.006890906952321529,0.007046044338494539,0.009322802536189556,0.005225655622780323,0.0005308195832185447,0.0029182033613324165,0.0006709845620207489,0.0002569523057900369
5,0.9656367301940918,0.005000701639801264,0.01923534646630287,0.005890490487217903,0.001914663938805461,0.00045260204933583736,0.0021634662989526987,0.006336681544780731,0.0011737322201952338,0.0028439222369343042,0.002082497114315629,0.0029664342291653156,0.00037993723526597023,0.0010907395044341683,0.0010846804361790419,0.0006956652505323291,0.0019082804210484028,0.0015103049809113145,0.002002044813707471,0.001189989852719009,0.00244162674061954,0.0010661736596375704,0.0015034611569717526,0.001643202151171863,0.00036700270720757544,0.0005692814011126757,0.00027066594338975847,0.0003262848767917603
6,0.8458501696586609,0.006557831075042486,0.14864566922187805,0.02306046150624752,0.004161939490586519,0.0011519266990944743,0.007925608195364475,0.0034504984505474567,0.0009456141269765794,0.0018180643673986197,0.008443359285593033,0.0020134765654802322,0.0014728520764037967,0.0008863798575475812,0.0015192501014098525,0.0009639100753702223,0.0008475128561258316,0.0015789361204952002,0.0007834492716938257,0.0006997635355219245,0.0005995518295094371,0.0007687627803534269,0.0011320231715217233,0.0024418265093117952,0.00024078424030449241,0.0003517538425512612,0.00038749570376239717,0.00023619257262907922
7,0.5093437433242798,0.015825310721993446,0.5381265878677368,0.012912205420434475,0.01954537443816662,0.0010554363252595067,0.004310480318963528,0.004380847327411175,0.0017603029264137149,0.0016399549786001444,0.002458966104313731,0.0052204253152012825,0.000977356918156147,0.0012158181052654982,0.002533557591959834,0.0007139667868614197,0.000423586432589218,0.00095392792718485,0.0006072931573726237,0.00026885810075327754,0.0006652739248238504,0.0013777522835880518,0.002310630166903138,0.0012518645962700248,0.0001417902240063995,0.000181979252374731,0.00017598553677089512,0.00017124810256063938
8,0.13008876144886017,0.0016052779974415898,0.0282896775752306,0.0065844799391925335,0.00505254277959466,0.000697180803399533,0.0011592799564823508,0.5838860273361206,0.0018190346891060472,0.013576042838394642,0.002474407898262143,0.03262588009238243,0.0005319468327797949,0.00580707797780633,0.0020734257996082306,0.0007082039956003428,0.0027614422142505646,0.0006812626379542053,0.013934570364654064,0.0006793101783841848,0.38157176971435547,0.001247125444933772,0.0014823349192738533,0.002313939156010747,0.00038227078039199114,0.003133125603199005,0.00048336616600863636,0.0006523733609355986
9,0.008689291775226593,0.0484040230512619,0.020804179832339287,0.004947586450725794,0.005492789670825005,0.001113508129492402,0.0032599386759102345,0.004539504647254944,0.988523006439209,0.0016580430092290044,0.0033070475328713655,0.0028792815282940865,0.001969784265384078,0.00242329528555274,0.0010225347941741347,0.0014836766058579087,0.0015932340174913406,0.0016131703741848469,0.0011060959659516811,0.0004449246043805033,0.001064681215211749,0.0010212735505774617,0.001418130355887115,0.0014581242576241493,0.00038869905984029174,0.000462336465716362,0.00016644030984025449,0.0009970274986699224
10,0.7865476608276367,0.01188917551189661,0.09858401119709015,0.017103945836424828,0.010660962201654911,0.0010672630742192268,0.010623848997056484,0.04853997007012367,0.0004350296512711793,0.005701464135199785,0.0019392080139368773,0.008210854604840279,0.0007786657079122961,0.0007885686936788261,0.002943645231425762,0.0023525122087448835,0.0006247652345336974,0.0002858608786482364,0.0019502929644659162,0.0007750866352580488,0.0033235365990549326,0.0009094901033677161,0.0008491246844641864,0.002528728684410453,0.0001812716363929212,0.0004684173909481615,0.0002604649343993515,0.00010241766722174361
11,0.10536325722932816,0.0023077938240021467,0.00839317124336958,0.007823191583156586,0.0021184515208005905,0.0004595323116518557,0.0007662982679903507,0.6377303600311279,0.0011467383010312915,0.03204956650733948,0.0007332664099521935,0.035907138139009476,0.00026626884937286377,0.0009715548367239535,0.001317945891059935,0.0012821252457797527,0.0030509051866829395,0.0005498236278072,0.07371059060096741,0.0009200685890391469,0.21959076821804047,0.00170197116676718,0.0027340189553797245,0.0046512894332408905,0.0003361534036230296,0.007875100709497929,0.0005004730192013085,0.0005557172116823494
12,0.22817501425743103,0.0024695906322449446,0.0050522335804998875,0.0049651325680315495,0.0035408190451562405,0.00041966669959947467,0.0012115337885916233,0.2374897450208664,0.00031705686706118286,0.01193443313241005,0.00493284035474062,0.011499478481709957,0.00027319579385221004,0.0013472929131239653,0.0020807706750929356,0.0014231217792257667,0.0031895525753498077,0.0013158420333638787,0.020717008039355278,0.0006327972514554858,0.1305016279220581,0.0024133999831974506,0.002005693269893527,0.40775245428085327,0.00037408346543088555,0.0035549202002584934,0.0003677760250866413,0.00045291276182979345
13,0.03259100764989853,0.008643181063234806,0.006692172959446907,0.007229747716337442,0.005259704310446978,0.00026397849433124065,0.007681840565055609,0.005872576963156462,0.0036443760618567467,0.0013715879758819938,0.06685107201337814,0.002289065159857273,0.0010450483532622457,0.0023673870600759983,0.0021767353173345327,0.00515537615865469,0.0027088068891316652,0.004565366078168154,0.0012549697421491146,0.0007709680940024555,0.0020189399365335703,0.046515319496393204,0.017665592953562737,0.9340853691101074,0.0004741111770272255,0.0012036843691021204,0.001021706615574658,0.0010532345622777939
