row,neutral,confusion,curiosity,approval,love,realization,disapproval,surprise,disappointment,annoyance,optimism,sadness,caring,fear,anger,excitement,desire,admiration,nervousness,joy,disgust,embarrassment,remorse,amusement,grief,relief,gratitude,pride
1,0.37536945939064026,0.34846657514572144,0.3374972641468048,0.06325551122426987,0.030681677162647247,0.028940722346305847,0.014147963374853134,0.011066298000514507,0.010590936057269573,0.010298307985067368,0.00866686925292015,0.004684807732701302,0.0034264405257999897,0.0030027965549379587,0.0027502861339598894,0.0027416874654591084,0.002398797543719411,0.0019267566967755556,0.0018727212445810437,0.0017921797698363662,0.001683705486357212,0.0013406530488282442,0.0013318012934178114,0.0009310995228588581,0.0006209476268850267,0.0005476619699038565,0.00021755894704256207,0.00013991609739605337
2,0.02617970108985901,0.002364933490753174,0.004063268192112446,0.00804178323596716,0.005824475083500147,0.01185648888349533,0.0073142326436936855,0.002987762214615941,0.06567133963108063,0.012737768702208996,0.0025427299551665783,0.9113718271255493,0.00893637165427208,0.004084503278136253,0.008454120717942715,0.0017336747841909528,0.003545231418684125,0.009339900687336922,0.0038745019119232893,0.005098938010632992,0.00570640480145812,0.0019944857340306044,0.01556787732988596,0.005571773741394281,0.03693968802690506,0.0018192536663264036,0.00405072933062911,0.0004956857301294804
3,0.7965571880340576,0.12628670036792755,0.09423074126243591,0.06749130040407181,0.0013294694945216179,0.019109753891825676,0.006731139030307531,0.0018335537752136588,0.0027603814378380775,0.006230213679373264,0.01663653366267681,0.0010843926575034857,0.00271893129684031,0.000946653017308563,0.0008580751600675285,0.0014874076005071402,0.0021263640373945236,0.0016522406367585063,0.0005721573252230883,0.0007652788190171123,0.0008733393624424934,0.0004160891112405807,0.00046115307486616075,0.0007886047242209315,0.000263635185547173,0.00040128419641405344,0.00038759122253395617,0.00016428004892077297
4,0.9626225829124451,0.012660842388868332,0.007706735748797655,0.009421628899872303,0.0012669378193095326,0.007090077735483646,0.00411731144413352,0.0017575793899595737,0.00341336103156209,0.0070196483284235,0.0022511337883770466,0.002121025463566184,0.000891201023478061,0.00136162422131747,0.0022419141605496407,0.001625114819034934,0.00104548002127558,0.002095511881634593,0.00042245571967214346,0.0010011261329054832,0.001851120963692665,0.0007069305283948779,0.00035976097569800913,0.0017612039810046554,0.0004384925705380738,0.00023265311028808355,0.0006201134528964758,0.00017617121920920908
5,0.3881577253341675,0.36838072538375854,0.536739706993103,0.007037326227873564,0.0011812784941866994,0.004687723238021135,0.005550211761146784,0.0037771931383758783,0.003480836283415556,0.01348793599754572,0.004411972593516111,0.001625702134333551,0.002045429078862071,0.0014407890848815441,0.0034302053973078728,0.0011024466948583722,0.001680576940998435,0.0011183060705661774,0.000613167358096689,0.0006421534344553947,0.001520837191492319,0.0007482553482986987,0.0004860691260546446,0.0012497170828282833,0.0002920547849498689,0.0001397013256791979,0.0005146516487002373,5.2780116675421596e-05
6,0.4183185398578644,0.05017707869410515,0.026231806725263596,0.10653306543827057,0.0014775117160752416,0.6280505657196045,0.0040260846726596355,0.023253126069903374,0.007249255198985338,0.008531756699085236,0.008718898519873619,0.004443375393748283,0.0017099629621952772,0.0030527464114129543,0.0012004480231553316,0.0036231311969459057,0.0016354417894035578,0.004092970862984657,0.003082212060689926,0.0033663564827293158,0.0021907067857682705,0.005997344385832548,0.0026262090541422367,0.00419509457424283,0.0013450178084895015,0.002981880446895957,0.0014993285294622183,0.0010700041893869638
7,0.9473889470100403,0.00259368191473186,0.0012097947765141726,0.03702136501669884,0.0010667212773114443,0.019257862120866776,0.0020305628422647715,0.001175167504698038,0.0030705039389431477,0.00334874726831913,0.003536513075232506,0.0014555202797055244,0.0007205001311376691,0.0010653618955984712,0.0006255672196857631,0.00287174666300416,0.0009682120871730149,0.005095397587865591,0.0004127762804273516,0.002093627117574215,0.0011879574740305543,0.0004706965119112283,0.0003231205919291824,0.0016320188296958804,0.00031020567985251546,0.000623685191385448,0.0010153009789064527,0.0004991121822968125
8,0.39355310797691345,0.02498520351946354,0.024388406425714493,0.15436160564422607,0.0018538145814090967,0.011587560176849365,0.21633251011371613,0.0006313027115538716,0.0064222607761621475,0.03372574225068092,0.03870221972465515,0.0042901118285954,0.4200739562511444,0.001599789597094059,0.005323310382664204,0.001138788997195661,0.002775871427729726,0.002802222967147827,0.002277631778270006,0.0018474576063454151,0.0007491929573006928,0.000565788010135293,0.0012149561662226915,0.0008766876417212188,0.0008579864515922964,0.0033009580802172422,0.0017394868191331625,0.00048286491073668003
9,0.7105696797370911,0.007016501855105162,0.0009709172882139683,0.07297186553478241,0.000694405403919518,0.16441960632801056,0.04844381660223007,0.0015398008981719613,0.0661744624376297,0.02917507104575634,0.006803570780903101,0.00835680216550827,0.0008975360542535782,0.0009112743427976966,0.0011469109449535608,0.0004834124993067235,0.0012695911573246121,0.001858831150457263,0.0010308660566806793,0.0013165922136977315,0.002008865587413311,0.002066598739475012,0.0007680564885959029,0.0011452645994722843,0.0008052628836594522,0.0016838015289977193,0.0004794148844666779,0.0005673289415426552
10,0.26553887128829956,0.2564230263233185,0.5836743116378784,0.015389246866106987,0.0015461243456229568,0.010736033320426941,0.02174953557550907,0.010754839517176151,0.00928178895264864,0.044742878526449203,0.001885808422230184,0.0020399701315909624,0.001391880796290934,0.003102988936007023,0.005223898217082024,0.002146714134141803,0.0016142143867909908,0.004264227580279112,0.0014745591906830668,0.000719947274774313,0.022735439240932465,0.007942741736769676,0.0007949579739943147,0.0018476062687113881,0.000527187658008188,0.00029149148031137884,0.0005583862657658756,0.00014652192476205528
