row,disapproval,confusion,annoyance,curiosity,neutral,disappointment,anger,approval,surprise,realization,disgust,embarrassment,optimism,sadness,excitement,caring,fear,nervousness,amusement,admiration,joy,desire,gratitude,remorse,love,grief,relief,pride
1,0.48620861768722534,0.2854294180870056,0.2067854404449463,0.19777549803256989,0.18472371995449066,0.06058806926012039,0.026789383962750435,0.009888960048556328,0.009806394577026367,0.007837384007871151,0.005580594763159752,0.004941062536090612,0.004816305357962847,0.0033235647715628147,0.0024768137373030186,0.002442146884277463,0.002040902152657509,0.0020231246016919613,0.0019426533253863454,0.0017436997732147574,0.0013814311241731048,0.001373108709231019,0.0011679533636197448,0.0008746847743168473,0.0007749282522127032,0.0005164312315173447,0.0004922426305711269,0.0002097122633131221
2,0.016636300832033157,0.14525443315505981,0.00961039587855339,0.4124261736869812,0.04172827675938606,0.06512104719877243,0.0026828795671463013,0.00845611933618784,0.32859429717063904,0.042037781327962875,0.0019801510497927666,0.03228136524558067,0.023912975564599037,0.03092500939965248,0.009688486345112324,0.004927853122353554,0.005567482672631741,0.008621113374829292,0.005391526035964489,0.0022405909840017557,0.0040822457522153854,0.0048020281828939915,0.0043199434876441956,0.11375981569290161,0.0038972320035099983,0.00402801064774394,0.002621111925691366,0.00041430367855355144
3,0.0021906725596636534,0.06997772306203842,0.004936291836202145,0.4680348336696625,0.3142205476760864,0.0012513555120676756,0.0009229796705767512,0.09813085943460464,0.0036660502664744854,0.012632085010409355,0.0005424561095423996,0.00032365176593884826,0.05277455598115921,0.0009802263230085373,0.005966023541986942,0.015713676810264587,0.0010464595397934318,0.0008797487244009972,0.0018188554095104337,0.0053915949538350105,0.002997773000970483,0.010090725496411324,0.0021358360536396503,0.0007572720060124993,0.0017456713831052184,0.0003557488089427352,0.0009873092640191317,0.00022635687491856515
4,0.05022646486759186,0.0012507715728133917,0.33007699251174927,0.0017779683694243431,0.13226331770420074,0.013025582768023014,0.16697943210601807,0.14823853969573975,0.0008925003348849714,0.012846538797020912,0.006774741690605879,0.0014982582069933414,0.08573897182941437,0.002480467315763235,0.003817448392510414,0.035229504108428955,0.001802955404855311,0.000561595952603966,0.0010905234375968575,0.020670488476753235,0.0016527080442756414,0.025144578889012337,0.00242617423646152,0.0006923173204995692,0.000767917837947607,0.0008125427411869168,0.0011902109254151583,0.004187243524938822
5,0.023614229634404182,0.8424100279808044,0.01075237337499857,0.017174970358610153,0.2292594611644745,0.005988847929984331,0.0019467403180897236,0.045884255319833755,0.0021067275665700436,0.028080305084586143,0.001542462152428925,0.0014692876720800996,0.010677722282707691,0.0017597373807802796,0.003142573172226548,0.00376776116900146,0.0025739732664078474,0.003434199606999755,0.0019066882086917758,0.002544090850278735,0.007402723655104637,0.0029931061435490847,0.004172056447714567,0.002048080088570714,0.0039137378334999084,0.00042678051977418363,0.0014061052352190018,0.0005435023340396583
6,0.00306971138343215,0.0032566122245043516,0.0030935644172132015,0.004191383253782988,0.005426009185612202,0.001714992569759488,0.0011379806092008948,0.017834916710853577,0.002434405265375972,0.0052355327643454075,0.0012407144531607628,0.0004724646860267967,0.005882905796170235,0.0022021469194442034,0.005480626132339239,0.002780070761218667,0.0006207443657331169,0.00022669231111649424,0.0025828960351645947,0.6431265473365784,0.005804578773677349,0.0012112348340451717,0.9633103609085083,0.000955205294303596,0.002765359589830041,0.0006442821468226612,0.0016009322134777904,0.001957044005393982
7,0.0025529370177537203,0.002278777537867427,0.010239247232675552,0.0028459837194532156,0.9380905032157898,0.0016694733640179038,0.001141338492743671,0.048855461180210114,0.0007385594071820378,0.009220284409821033,0.0008059769170358777,0.00027580533060245216,0.00477620167657733,0.0005609655054286122,0.002953477669507265,0.001526814536191523,0.0004573834885377437,0.00024607678642496467,0.001398233463987708,0.002662134123966098,0.0016702985158190131,0.001635766471736133,0.0005867111613042653,0.00014997334801591933,0.000516800326295197,0.00014753584400750697,0.0005047175800427794,0.00031145414686761796
8,0.025238176807761192,0.008146503008902073,0.035135746002197266,0.002024586545303464,0.6224346160888672,0.21695303916931152,0.0012140797916799784,0.05213383212685585,0.0022510343696922064,0.12229666113853455,0.0015111594693735242,0.005007848609238863,0.00622157845646143,0.021265381947159767,0.0007130824960768223,0.0008176359697245061,0.000736057001631707,0.0016738303238525987,0.001194766373373568,0.0013592020841315389,0.0017495312495157123,0.001374579849652946,0.000568175280932337,0.002255648374557495,0.0009531266987323761,0.0010451562702655792,0.002453192602843046,0.0005416000494733453
9,0.07077836990356445,0.014293108135461807,0.008549838326871395,0.0010287003824487329,0.805543065071106,0.009267453104257584,0.0008837899076752365,0.057900916785001755,0.0013155274791643023,0.09369871020317078,0.0013851922703906894,0.0011665624333545566,0.003085864009335637,0.0017261328175663948,0.0005570410867221653,0.0005570814828388393,0.0006042424356564879,0.0003417631087359041,0.0016464705113321543,0.0018678023479878902,0.0010720943100750446,0.000601769657805562,0.0011073232162743807,0.0005497199017554522,0.000789913407061249,0.0003291335597168654,0.0007257232209667563,0.0003219128120690584
10,0.3871624171733856,0.004426150117069483,0.043640393763780594,0.0009564789361320436,0.6929700970649719,0.03519432619214058,0.003532359842211008,0.015080368146300316,0.0021892408840358257,0.022246109321713448,0.0017295649740844965,0.0016193536575883627,0.0028075487352907658,0.0025911973789334297,0.0011198309948667884,0.0008504258585162461,0.0005655686254613101,0.0004408648528624326,0.0011523821158334613,0.0013408215017989278,0.0013221469707787037,0.0013568818103522062,0.000987627194263041,0.000595860939938575,0.0005050539039075375,0.0003680213412735611,0.000833642843645066,0.0003711422614287585
