row,gratitude,neutral,approval,disapproval,caring,optimism,realization,annoyance,admiration,relief,joy,confusion,excitement,desire,disappointment,pride,curiosity,anger,remorse,sadness,love,amusement,disgust,surprise,embarrassment,fear,grief,nervousness
1,0.7595468163490295,0.18949241936206818,0.12172280251979828,0.01455096248537302,0.012994515709578991,0.010226762853562832,0.009393486194312572,0.005896765273064375,0.005707768723368645,0.005097135901451111,0.004140728618949652,0.003310606349259615,0.0017855799524113536,0.0014979729894548655,0.0010413775453343987,0.000978578464128077,0.0009540087776258588,0.0008932707132771611,0.0008800883078947663,0.0007513754535466433,0.0007244370062835515,0.0006815340602770448,0.0005997270345687866,0.0004374584532342851,0.00036815874045714736,0.0003361614071764052,0.00031682540429756045,0.00024113667313940823
2,0.00041831666021607816,0.8645092248916626,0.036762211471796036,0.045886553823947906,0.0016762495506554842,0.0054540629498660564,0.020603444427251816,0.08221781253814697,0.0009010362555272877,0.00047764324699528515,0.0004700743593275547,0.004508936777710915,0.00047997161163948476,0.0036571715027093887,0.02152824029326439,0.00028504140209406614,0.0011730884434655309,0.004808497615158558,0.0004951948067173362,0.0033896223176270723,0.000533352664206177,0.0007658945978619158,0.015669016167521477,0.0004856052983086556,0.002201937371864915,0.0023080979008227587,0.0004250198835507035,0.0006529935635626316
3,0.0008400296210311353,0.41407230496406555,0.036069605499506,0.2064092606306076,0.008104594424366951,0.015563653782010078,0.03138677775859833,0.03319076821208,0.0014763606013730168,0.001198523910716176,0.0008586599724367261,0.0120927095413208,0.000959772034548223,0.002192140556871891,0.013408401980996132,0.0004990562447346747,0.0015364782884716988,0.005944009870290756,0.0007087410776875913,0.005259128287434578,0.0005562129081226885,0.0007602456025779247,0.007020177319645882,0.0018008487531915307,0.0035651284269988537,0.18094265460968018,0.0008032048936001956,0.008298808708786964
4,0.0009441223810426891,0.2874731421470642,0.5393983125686646,0.14867955446243286,0.0020901153329759836,0.012834746390581131,0.03858423978090286,0.02082800678908825,0.004781592171639204,0.001058495370671153,0.0010784822516143322,0.05041618272662163,0.000848641328047961,0.0017598362173885107,0.012163379229605198,0.0003925537457689643,0.006406710017472506,0.0015331892063841224,0.0007374384440481663,0.0012877298286184669,0.0025874674320220947,0.001109187607653439,0.0016338947461917996,0.0008568569901399314,0.0009683463722467422,0.0005877090734429657,0.00022276588424574584,0.0005650793318636715
5,0.0006325768772512674,0.46004369854927063,0.05089237540960312,0.1080479770898819,0.0029304050840437412,0.01667984575033188,0.02589820884168148,0.019371703267097473,0.001570886466652155,0.0005788040580227971,0.0011934288777410984,0.5035132765769958,0.0011981255374848843,0.005361645482480526,0.013943648897111416,0.00022957038891036063,0.04680175334215164,0.0016683849971741438,0.0009106528596021235,0.00170825922396034,0.0011042609112337232,0.0006092219264246523,0.0016090034041553736,0.0016247156308963895,0.0009906121995300055,0.0012191080022603273,0.0002804167743306607,0.001423541340045631
6,0.004056067205965519,0.45250204205513,0.3313566744327545,0.007515548262745142,0.04455813392996788,0.1545962393283844,0.010710387490689754,0.0024770081508904696,0.014720374718308449,0.001189709990285337,0.0017926166765391827,0.004488810896873474,0.0027943686582148075,0.008908545598387718,0.0019126366823911667,0.0012348938034847379,0.002293866127729416,0.0014474205672740936,0.0010715689277276397,0.0011398314964026213,0.12835335731506348,0.0003896627458743751,0.0009219254716299474,0.0007589361630380154,0.0002611576928757131,0.0016900846967473626,0.0005240703467279673,0.0005456489161588252
7,0.0007082049851305783,0.36383509635925293,0.005172788165509701,0.005833137314766645,0.0012008019257336855,0.002138696610927582,0.0048764543607831,0.01828978769481182,0.0015273533063009381,0.00011614672257564962,0.000628663576208055,0.36732274293899536,0.0010307604679837823,0.0007237952086143196,0.002939922269433737,5.1856488425983116e-05,0.5254662036895752,0.003995227627456188,0.0003908603102900088,0.0011585172032937407,0.0009295642958022654,0.00163753901142627,0.0014738335739821196,0.006827193778008223,0.0009070357773452997,0.000833431608043611,0.0002774465538095683,0.00043145360541529953
8,0.0005965445307083428,0.8146344423294067,0.05049138516187668,0.12128863483667374,0.0028291658964008093,0.00354375084862113,0.014044255018234253,0.041157010942697525,0.00140756880864501,0.0003944584750570357,0.0005603950121439993,0.00141380843706429,0.00036985627957619727,0.0010569721926003695,0.005541609600186348,0.0002379944344284013,0.0005556607502512634,0.005971931386739016,0.0002874333586078137,0.0012139602331444621,0.0005514372605830431,0.000905994966160506,0.001578110153786838,0.0002911062620114535,0.0005216096760705113,0.0003976052103098482,0.00021071040828246623,0.00019658241944853216
9,0.0003566784143913537,0.5271299481391907,0.008836273103952408,0.005070528481155634,0.0015195864252746105,0.004333100281655788,0.008349119685590267,0.022050179541110992,0.0011311231646686792,0.00017456129717174917,0.0007328402134589851,0.3407902121543884,0.001140885055065155,0.0011580355931073427,0.0024497874546796083,8.198247087420896e-05,0.4072854816913605,0.004574726335704327,0.00034738454269245267,0.000955416529905051,0.0006243629031814635,0.0019919739570468664,0.001362714683637023,0.005282857455313206,0.00091557577252388,0.0008696158765815198,0.0002698565658647567,0.0004835026047658175
10,0.000944489031098783,0.8819945454597473,0.09794377535581589,0.006724253296852112,0.002888692310079932,0.004477144684642553,0.014862329699099064,0.009668978862464428,0.002195262350142002,0.0005892952904105186,0.0009501812746748328,0.000953303708229214,0.000530034420080483,0.0010983893880620599,0.00216484721750021,0.00029417555197142065,0.0005431548343040049,0.001538738957606256,0.0002551577053964138,0.000905018241610378,0.0007330626831389964,0.0008736573508940637,0.0008650251547805965,0.00021509252837859094,0.0002499392721801996,0.00034349627094343305,0.0001674892846494913,0.0001695471437415108
