row,neutral,excitement,joy,gratitude,approval,realization,optimism,desire,surprise,confusion,admiration,curiosity,love,annoyance,relief,disappointment,amusement,sadness,caring,fear,disapproval,pride,nervousness,disgust,embarrassment,grief,anger,remorse
1,0.7909377813339233,0.05655129998922348,0.02174331247806549,0.018432697281241417,0.018377220258116722,0.016156533733010292,0.009051067754626274,0.006067239213734865,0.005249963607639074,0.0030972505919635296,0.002706338418647647,0.0027054250240325928,0.00252980412915349,0.002364779356867075,0.0023291127290576696,0.0020844442769885063,0.0016908821417018771,0.0016352541279047728,0.0015058639692142606,0.001188677386380732,0.0011762325884774327,0.0011679872404783964,0.0009619828779250383,0.0007650133920833468,0.0006105751381255686,0.0005485545261763036,0.0005206904606893659,0.0004842624766752124
2,0.09203652292490005,0.020184805616736412,0.051025595515966415,0.45802804827690125,0.02505960315465927,0.006402444094419479,0.007184275891631842,0.003536998527124524,0.0037982789799571037,0.0832020491361618,0.004767652601003647,0.3197070062160492,0.001589791034348309,0.00572918402031064,0.005513249430805445,0.0014829363208264112,0.0038150048349052668,0.0016507988329976797,0.007886513136327267,0.0007194725912995636,0.003532413626089692,0.0005219553713686764,0.0014293234562501311,0.000622657360509038,0.0005688515375368297,0.0006424105376936495,0.0014087161980569363,0.00128468859475106
3,0.25661343336105347,0.03732352703809738,0.020617179572582245,0.0018200530903413892,0.31056347489356995,0.03563873842358589,0.06685718894004822,0.2827804386615753,0.0017905529821291566,0.0031149524729698896,0.016206422820687294,0.0023390394635498524,0.009634129703044891,0.006838292349129915,0.0047513400204479694,0.009802654385566711,0.0015955042326822877,0.0013707430334761739,0.0024170842953026295,0.0010473422007635236,0.010169883258640766,0.003253708127886057,0.0013885311782360077,0.0015437654219567776,0.0007064742385409772,0.0004567689320538193,0.0006958419107832015,0.0006628825212828815
4,0.05911392346024513,0.016886573284864426,0.8178082704544067,0.009534105658531189,0.1653871387243271,0.0428893007338047,0.009105063043534756,0.0025874944403767586,0.0018391362391412258,0.004981208126991987,0.07107691466808319,0.0012598867760971189,0.01029091328382492,0.007104082498699427,0.06109416484832764,0.0034652394242584705,0.028056800365447998,0.0030142473988234997,0.009252325631678104,0.0009358819224871695,0.009584031067788601,0.011198424734175205,0.0020712849218398333,0.0008252146653831005,0.0014318689936771989,0.0011663335608318448,0.0013001522747799754,0.0008973825606517494
5,0.11053700000047684,0.010112224146723747,0.6304546594619751,0.019344814121723175,0.221343994140625,0.03727608174085617,0.010401739738881588,0.0025431362446397543,0.0013372615212574601,0.004485737066715956,0.025481482967734337,0.001359051326289773,0.003172212513163686,0.007491135038435459,0.1393333375453949,0.0032697468996047974,0.008346691727638245,0.005226937122642994,0.04305379092693329,0.001531820511445403,0.011298248544335365,0.009694096632301807,0.004329215735197067,0.0009330004104413092,0.001537881325930357,0.0017311127157881856,0.0011102379066869617,0.001175437355414033
6,0.5929443836212158,0.0004929187707602978,0.0016033677384257317,0.0006469171494245529,0.0319359116256237,0.07187756896018982,0.008214376866817474,0.002000493463128805,0.0007874449365772307,0.005996966268867254,0.00087965396232903,0.0007791834068484604,0.0004022315260954201,0.14166279137134552,0.0018258518539369106,0.11142235994338989,0.001326087978668511,0.009411460720002651,0.0028586373664438725,0.000802069844212383,0.1408596634864807,0.0005293914582580328,0.0016888563986867666,0.003706212155520916,0.0037721365224570036,0.0006509433733299375,0.0033763411920517683,0.0017030214658007026
7,0.23163428902626038,0.029004517942667007,0.008419730700552464,0.0020712949335575104,0.16056181490421295,0.016630075871944427,0.18497607111930847,0.41171151399612427,0.0012679168721660972,0.0030995672568678856,0.011260317638516426,0.006968924775719643,0.004101851489394903,0.002975926734507084,0.0024872678332030773,0.0036178245209157467,0.0015393324429169297,0.0016244944417849183,0.009005560539662838,0.0016974944155663252,0.0027295569889247417,0.0016031120903789997,0.0014064433053135872,0.0008484028512611985,0.00033733833697624505,0.00046998902689665556,0.0006032081437297165,0.0007776683196425438
8,0.1578311175107956,0.011620455421507359,0.5715927481651306,0.0061866482719779015,0.3140484690666199,0.048805732280015945,0.033543989062309265,0.0037522288039326668,0.000926947221159935,0.004910836927592754,0.02149726077914238,0.0009496893035247922,0.004195821937173605,0.00644866144284606,0.04698849469423294,0.0027861332055181265,0.07724808156490326,0.0015938947908580303,0.012745295651257038,0.0008425901178270578,0.0091050760820508,0.007233506999909878,0.0016441534971818328,0.0006856723339296877,0.000882683671079576,0.0007756840204820037,0.0008416596683673561,0.0006466776831075549
9,0.12064048647880554,0.0024074248503893614,0.007623414508998394,0.0034808809868991375,0.13398541510105133,0.018361836671829224,0.023555248975753784,0.0033258323092013597,0.0008041265537030995,0.002007455099374056,0.012086223810911179,0.0023185661993920803,0.0008892348269000649,0.37845420837402344,0.007211528718471527,0.01596696302294731,0.0014147823676466942,0.003330852836370468,0.3268089294433594,0.0012533684493973851,0.05930478498339653,0.003375742584466934,0.002787536708638072,0.00500900112092495,0.0029999599792063236,0.0009763429989106953,0.038145676255226135,0.001147989183664322
10,0.5623899102210999,0.0005893248016946018,0.000956839881837368,0.0005624750046990812,0.014641906134784222,0.010207097977399826,0.0037785423919558525,0.0012069925433024764,0.0008752737776376307,0.0017833893653005362,0.0010601090034469962,0.0010238970862701535,0.00033793997135944664,0.44965696334838867,0.0003821263089776039,0.01804978959262371,0.007791108451783657,0.0014704234199598432,0.002050521085038781,0.0005290728295221925,0.08218181878328323,0.0004135302733629942,0.00032632966758683324,0.01809820346534252,0.00458176713436842,0.00028551058494485915,0.05988787114620209,0.0004802331095561385
11,0.4958309531211853,0.0038410492707043886,0.0028886718209832907,0.0014921934343874454,0.10721125453710556,0.026761692017316818,0.3210468292236328,0.19805501401424408,0.001106073847040534,0.012564700096845627,0.004089768510311842,0.006523813121020794,0.0027466868050396442,0.00335982465185225,0.0011702440679073334,0.005620364565402269,0.001155327307060361,0.0016908636316657066,0.006159366574138403,0.0015816634986549616,0.005280304234474897,0.0008779901545494795,0.0010477483738213778,0.0009544697240926325,0.00031130629940889776,0.00046767204185016453,0.0006898724823258817,0.0009358663228340447
12,0.28448325395584106,0.0012827739119529724,0.003934422507882118,0.0005508326576091349,0.02692936174571514,0.05513790622353554,0.005057257600128651,0.003991423174738884,0.0016008957754820585,0.004501769784837961,0.003414688166230917,0.0019504748051986098,0.0012121085310354829,0.23479722440242767,0.003679417772218585,0.5935354232788086,0.0015244270907714963,0.041726045310497284,0.0022389478981494904,0.0009851402137428522,0.05306267738342285,0.0010426337830722332,0.0050118775106966496,0.005613820161670446,0.007753768470138311,0.0017347570974379778,0.005163621623069048,0.002608595183119178
13,0.16485267877578735,0.045775026082992554,0.094808429479599,0.00128258450422436,0.3306751549243927,0.03146081045269966,0.07753728330135345,0.18194705247879028,0.001292675849981606,0.002984980819746852,0.024082528427243233,0.002631158335134387,0.0306396484375,0.004374118056148291,0.006112326867878437,0.0050481460057199,0.004435365088284016,0.0012503850739449263,0.0035683857277035713,0.0007033585570752621,0.005000236909836531,0.0035441769286990166,0.0012037749402225018,0.0010869974503293633,0.0005305811064317822,0.00047818469465710223,0.0005597589770331979,0.0006519208545796573
14,0.192125141620636,0.0011339405318722129,0.00308354408480227,0.013048972934484482,0.6986613869667053,0.09299273043870926,0.15244826674461365,0.0033918602857738733,0.0010195232462137938,0.006088108289986849,0.015459276735782623,0.0008398887002840638,0.0016430707182735205,0.006932293064892292,0.0062488350085914135,0.008073084056377411,0.0013885397929698229,0.001392993377521634,0.006357880774885416,0.0011820585932582617,0.00951798539608717,0.0023040880914777517,0.0007691826904192567,0.001134671038016677,0.0008119166013784707,0.0005105330492369831,0.000644592335447669,0.0010265626478940248
15,0.45718103647232056,0.0015104279154911637,0.0016734296223148704,0.000549097778275609,0.16801822185516357,0.039738066494464874,0.016878359019756317,0.009094941429793835,0.0006091702380217612,0.016507377848029137,0.0017665227642282844,0.0027749608270823956,0.0009532946278341115,0.04450387507677078,0.0012810230255126953,0.021450378000736237,0.0008972393698059022,0.0015572780976071954,0.00268200202845037,0.000574221892748028,0.30683696269989014,0.0004107477143406868,0.0007913505542092025,0.0022747102193534374,0.0009735544444993138,0.0002563894377090037,0.0017452160827815533,0.0004891278222203255
16,0.0926826074719429,0.013088592328131199,0.6911861896514893,0.006935852114111185,0.21180260181427002,0.045264486223459244,0.018145620822906494,0.003316286252811551,0.0017169015482068062,0.03671400994062424,0.01738331839442253,0.0034439561422914267,0.003944453317672014,0.01212194561958313,0.061242200434207916,0.007409580051898956,0.028655940666794777,0.003379587084054947,0.01501696277409792,0.0010210152249783278,0.06722966581583023,0.005142596084624529,0.0038940960075706244,0.000824128626845777,0.0017530708573758602,0.0010899226181209087,0.0014943840214982629,0.0010548869613558054
17,0.2108018845319748,0.0017068336019292474,0.0026729602832347155,0.0022725455928593874,0.2630821466445923,0.059872955083847046,0.009747028350830078,0.003599879564717412,0.0019032338168472052,0.017542794346809387,0.008104720152914524,0.001477520912885666,0.005771311465650797,0.038239262998104095,0.0038357432931661606,0.11122427880764008,0.0007213610224425793,0.0045473612844944,0.003378570545464754,0.0007140004308894277,0.5062643885612488,0.001271955668926239,0.0010914577869698405,0.003120867535471916,0.0029160063713788986,0.0006503251497633755,0.001984034664928913,0.0026055274065583944
18,0.3268178105354309,0.007009736727923155,0.10265693068504333,0.0024879055563360453,0.5442810654640198,0.03570292145013809,0.011439329013228416,0.011443032883107662,0.0005097577231936157,0.0024408171884715557,0.022871803492307663,0.0007710120989941061,0.008173138834536076,0.020438628271222115,0.01812649890780449,0.01006810087710619,0.002510020975023508,0.0020865746773779392,0.008366999216377735,0.0003974462451878935,0.03979038819670677,0.005074742250144482,0.000915665237698704,0.0011841265950351954,0.0006520082242786884,0.0005657497677020729,0.0011528624454513192,0.00039095719694159925
19,0.5962659120559692,0.0009343851124867797,0.004849918186664581,0.0012486830819398165,0.11776251345872879,0.2550446689128876,0.008527039550244808,0.001867089536972344,0.0010549311991780996,0.030160820111632347,0.0021872709039598703,0.0014080501860007644,0.0012179323239251971,0.014906567521393299,0.003060723887756467,0.01515310537070036,0.002137224655598402,0.0021800915710628033,0.0013252237113192677,0.000934588082600385,0.019751451909542084,0.000812050886452198,0.0016426967922598124,0.0015038133133202791,0.001375567284412682,0.0004784883640240878,0.000801281479652971,0.0006958601879887283
20,0.10592714697122574,0.008637923747301102,0.010038541629910469,0.0016190375899896026,0.5439714789390564,0.024428237229585648,0.011443696916103363,0.07355353981256485,0.0011248249793425202,0.00465319724753499,0.03799716383218765,0.0018567099468782544,0.07525155693292618,0.042483992874622345,0.0045346952974796295,0.030165420845150948,0.00037968214019201696,0.0045334105379879475,0.00763093912974,0.0007586961146444082,0.14288954436779022,0.004585753194987774,0.0010728565976023674,0.0035088565200567245,0.0010013392893597484,0.0006806866731494665,0.006867952179163694,0.000873223296366632
21,0.04954894632101059,0.0024331375025212765,0.05186190456151962,0.002870470518246293,0.011141438968479633,0.014822684228420258,0.0034349423367530107,0.0014160426799207926,0.001467743655666709,0.003035824280232191,0.00707450183108449,0.001549235312268138,0.003383918199688196,0.004690658766776323,0.0012228615814819932,0.001959065208211541,0.8924668431282043,0.0032515546772629023,0.0010784550104290247,0.0005294840084388852,0.0026028212159872055,0.00039671341073699296,0.0005264286301098764,0.0012914175167679787,0.0016362617025151849,0.00040271435864269733,0.0010008318349719048,0.0010743881575763226
