row,confusion,neutral,approval,disapproval,realization,curiosity,annoyance,optimism,disappointment,joy,caring,desire,anger,nervousness,relief,excitement,admiration,surprise,sadness,fear,disgust,love,embarrassment,amusement,gratitude,remorse,pride,grief
1,0.44869279861450195,0.3820614218711853,0.20432884991168976,0.07833696156740189,0.039614178240299225,0.03703022003173828,0.03338645398616791,0.017030304297804832,0.012233390472829342,0.004287120886147022,0.0039022257551550865,0.003638888243585825,0.002416679635643959,0.002258241642266512,0.0018929238431155682,0.0016219837125390768,0.0016051694983616471,0.0014681840548291802,0.0014681484317407012,0.0013535647885873914,0.001277322880923748,0.0011721891351044178,0.001157143502496183,0.0010205425787717104,0.0008914073696359992,0.0008113168296404183,0.00048780551878735423,0.00033733368036337197
2,0.008634123019874096,0.5552716851234436,0.12903830409049988,0.18525660037994385,0.036804407835006714,0.0010810672538354993,0.11416841298341751,0.006838982459157705,0.02776888571679592,0.0006175345624797046,0.0012474426766857505,0.0013304365566000342,0.003670093370601535,0.00035893332096748054,0.0005623289616778493,0.00041135388892143965,0.002082009566947818,0.0005908917519263923,0.0012870479840785265,0.0003411177603993565,0.0031994255259633064,0.0005044741556048393,0.0010812197579070926,0.0011331727728247643,0.0004614602366928011,0.00035641907015815377,0.00032501446548849344,0.0002156751143047586
3,0.09698593616485596,0.5720493197441101,0.027087561786174774,0.05390995368361473,0.008102324791252613,0.19062507152557373,0.06636511534452438,0.014292141422629356,0.054520223289728165,0.0005517897661775351,0.006510975304991007,0.00478479266166687,0.005789817776530981,0.0018665369134396315,0.0004100454389117658,0.0007255752570927143,0.0013612029142677784,0.001658017048612237,0.007404075935482979,0.0020636250264942646,0.0032777367159724236,0.0007986211567185819,0.001908909878693521,0.0009081154130399227,0.0001354763371637091,0.0010151606984436512,0.0001385533978464082,0.0006885539041832089
4,0.00892013031989336,0.18370500206947327,0.6252005696296692,0.03152022510766983,0.02167997695505619,0.0031603018287569284,0.016510985791683197,0.006244824267923832,0.001812294707633555,0.17342832684516907,0.007009491790086031,0.0015631186543032527,0.002453126013278961,0.0006972648552618921,0.013583420775830746,0.004886469803750515,0.01337310392409563,0.000801431539002806,0.0008961700950749218,0.0004073699819855392,0.0007717825355939567,0.005652903113514185,0.000521009205840528,0.007313543930649757,0.004478454124182463,0.00030681383213959634,0.0020590394269675016,0.0003939419402740896
5,0.005220125894993544,0.8273760080337524,0.11004309356212616,0.04750027880072594,0.03964274376630783,0.0008871474419720471,0.025883063673973083,0.013440478593111038,0.01042516902089119,0.0005727173993363976,0.002564398106187582,0.0026353022549301386,0.0013414551503956318,0.00032665152684785426,0.0006622052751481533,0.0003223243111278862,0.0016858379822224379,0.00029224474565126,0.0012757295044139028,0.0004897971521131694,0.0014751014532521367,0.0005578231648541987,0.0004856298619415611,0.0007238524849526584,0.0006017545238137245,0.0004387553781270981,0.0002913959033321589,0.00023040828818921
6,0.007872110232710838,0.06567416340112686,0.8802067637443542,0.0079746562987566,0.01859556883573532,0.006728373002260923,0.004846612457185984,0.03041827119886875,0.001966568874195218,0.007219094317406416,0.004130538087338209,0.0038799310568720102,0.0007763244793750346,0.00045413951738737524,0.002851734170690179,0.007336886133998632,0.050812914967536926,0.0012254471657797694,0.0008497235830873251,0.0008287433884106576,0.0012869873316958547,0.005724693648517132,0.00034589579445309937,0.002740823198109865,0.00423247367143631,0.0004915475146844983,0.0012418198166415095,0.0002608702634461224
7,0.0033471528440713882,0.316155344247818,0.054941240698099136,0.3700394928455353,0.0366680845618248,0.0008162082522176206,0.22445757687091827,0.009272493422031403,0.17214563488960266,0.0012017997214570642,0.002050101524218917,0.0020624413155019283,0.0068014501594007015,0.0006336255464702845,0.0014718328602612019,0.0006010199431329966,0.0018011213978752494,0.001031513442285359,0.005833723582327366,0.00043654197361320257,0.003972269594669342,0.0005789064452983439,0.0028593428432941437,0.0013003473868593574,0.0018328565638512373,0.0014284375356510282,0.0005772182485088706,0.000539282220415771
8,0.0065055666491389275,0.14712457358837128,0.8502659201622009,0.01280179526656866,0.029125457629561424,0.004178272094577551,0.020172152668237686,0.007093542721122503,0.003517008852213621,0.002921753330156207,0.0012631905265152454,0.0013331141090020537,0.002508664969354868,0.00035279610892757773,0.0015361688565462828,0.00324029428884387,0.025289321318268776,0.0013445791555568576,0.0007503379019908607,0.0006608812836930156,0.002718728268519044,0.0035321933683007956,0.0007167417788878083,0.0023808993864804506,0.0012909927172586322,0.0003230435831937939,0.0010120088700205088,0.00022957718465477228
9,0.5603228211402893,0.5215182900428772,0.0153372036293149,0.08351883292198181,0.04820006340742111,0.011509559117257595,0.022363249212503433,0.008743367157876492,0.041433531790971756,0.0019119648495689034,0.0013004835927858949,0.0016499949852004647,0.0017930782632902265,0.002015548525378108,0.0007508021662943065,0.0009174952865578234,0.0014651805395260453,0.0029733204282820225,0.003335427725687623,0.0013211519690230489,0.0014027474680915475,0.0012820691335946321,0.002294688019901514,0.0012809126637876034,0.0013008378446102142,0.001573033514432609,0.00026690351660363376,0.00045294949086382985
10,0.08756490796804428,0.4066978991031647,0.060910217463970184,0.43410974740982056,0.0492045059800148,0.0031325446907430887,0.09949889779090881,0.009936113841831684,0.09357740730047226,0.0011715395376086235,0.0022694396320730448,0.0021254494786262512,0.003647166769951582,0.0021714589092880487,0.0013126457342877984,0.0008532781503163278,0.0014357801992446184,0.001347111421637237,0.0036677366588264704,0.0012633776059374213,0.00317397085018456,0.0006058525177650154,0.003254183102399111,0.0008226665668189526,0.0007443708018399775,0.0009841237915679812,0.0004790608654730022,0.0005036991205997765
