row,neutral,approval,caring,curiosity,optimism,disapproval,confusion,annoyance,realization,disappointment,joy,desire,admiration,sadness,relief,nervousness,excitement,anger,love,fear,surprise,remorse,amusement,grief,pride,disgust,embarrassment,gratitude
1,0.45359116792678833,0.23092466592788696,0.1936226487159729,0.18243391811847687,0.04384411871433258,0.038809992372989655,0.034498538821935654,0.023895107209682465,0.012067346833646297,0.009115553461015224,0.006166837643831968,0.005848091561347246,0.005135019309818745,0.0046257139183580875,0.004159780219197273,0.00334463594481349,0.003237001597881317,0.0029458741191774607,0.0017234766855835915,0.001570759923197329,0.0011941895354539156,0.0010482246289029717,0.0009654274908825755,0.0008483855053782463,0.0006621620268560946,0.0006140299374237657,0.0005124476156197488,0.0003998842148575932
2,0.08500409126281738,0.04218076914548874,0.009098685346543789,0.8324864506721497,0.013635443523526192,0.004919393453747034,0.0503215417265892,0.005217811092734337,0.00390871986746788,0.0021936576813459396,0.004714100621640682,0.034098848700523376,0.019901977851986885,0.0021391932386904955,0.0006919792504049838,0.001962634501978755,0.059585534036159515,0.0024019412230700254,0.01172174233943224,0.0025760906282812357,0.0056653800420463085,0.001058465102687478,0.002969909692183137,0.0005253516719676554,0.0002714422589633614,0.0014344020746648312,0.0006225294782780111,0.0022341818548738956
3,0.11367905139923096,0.011650249361991882,0.0011849264847114682,0.0014719526516273618,0.005693943239748478,0.08602024614810944,0.005641587544232607,0.47666195034980774,0.04705819860100746,0.5773752927780151,0.0019651625771075487,0.0017216523410752416,0.0023135298397392035,0.021006159484386444,0.0017325347289443016,0.003913756459951401,0.0011444271076470613,0.02964397706091404,0.0010231126798316836,0.002190295374020934,0.004896694328635931,0.0019016892183572054,0.0019833133555948734,0.0013159472728148103,0.0008840383961796761,0.014087144285440445,0.013013934716582298,0.0011891995090991259
4,0.04564778506755829,0.0298464335501194,0.005754697136580944,0.07922494411468506,0.009882197715342045,0.012957549653947353,0.019705960527062416,0.03103230893611908,0.012358027510344982,0.0484929233789444,0.009328647516667843,0.0015887606423348188,0.03570952266454697,0.009573093615472317,0.009248606860637665,0.0025898385792970657,0.011511311866343021,0.0026215119287371635,0.0004789024533238262,0.001265989150851965,0.004720746073871851,0.0033763123210519552,0.0009938891744241118,0.0015581012703478336,0.0017166284378618002,0.001365533098578453,0.0025970591232180595,0.5596561431884766
5,0.183294877409935,0.013491712510585785,0.003628223203122616,0.7614426016807556,0.010972583666443825,0.005926867481321096,0.10049021244049072,0.0064248875714838505,0.003148655639961362,0.0030930484645068645,0.0014722974738106132,0.02963942475616932,0.0038208954501897097,0.0016962827648967505,0.00024214322911575437,0.0006819404661655426,0.00432704808190465,0.0022214127238839865,0.0055563971400260925,0.0013552267337217927,0.0027318838983774185,0.0010130859445780516,0.0019237349042668939,0.000320941413519904,8.52283337735571e-05,0.0011435536434873939,0.0005236237193457782,0.0011857631616294384
6,0.01545186247676611,0.09705403447151184,0.03513828292489052,0.006239745300263166,0.018937746062874794,0.20189853012561798,0.01128403004258871,0.011145605705678463,0.02032519318163395,0.047297995537519455,0.004338017664849758,0.015040700323879719,0.006384877488017082,0.19679653644561768,0.003706141607835889,0.002901243744418025,0.0017875316552817822,0.0060043130069971085,0.09164279699325562,0.001685330062173307,0.0013313662493601441,0.6839853525161743,0.003630839055404067,0.005582129582762718,0.001109044416807592,0.006502760108560324,0.015847228467464447,0.01495596207678318
7,0.041184425354003906,0.00606947997584939,0.002402017591521144,0.22947396337985992,0.050983820110559464,0.003336499212309718,0.00858345627784729,0.005936962086707354,0.005406202748417854,0.005146987270563841,0.006162662990391254,0.025648444890975952,0.013830660842359066,0.0021105383057147264,0.0008169140201061964,0.0014067862648516893,0.09246832132339478,0.0023292258847504854,0.0022971576545387506,0.0031395151745527983,0.5427845120429993,0.000728319282643497,0.006830945145338774,0.001038957154378295,0.0004152286855969578,0.001829470624215901,0.0011414699256420135,0.0018822307465597987
8,0.6934471130371094,0.1962304264307022,0.0019818763248622417,0.0033198834862560034,0.00961542222648859,0.002280856715515256,0.001392614096403122,0.004731323104351759,0.0045877122320234776,0.0011286825174465775,0.015398315154016018,0.009278694167733192,0.006798832677304745,0.0006378896650858223,0.0016764083411544561,0.00043478963198140264,0.07417090237140656,0.0010788347572088242,0.0013876170851290226,0.0005622169701382518,0.0010401589097455144,0.00020569551270455122,0.003762395353987813,0.00019080533820670098,0.001109138480387628,0.000755502434913069,0.0002493951178621501,0.0011429982259869576
9,0.28777626156806946,0.007228800095617771,0.0021536415442824364,0.6256201863288879,0.0031869341619312763,0.006116823758929968,0.29387304186820984,0.009530913084745407,0.0035016960464417934,0.002850509947165847,0.0006749382009729743,0.001212975475937128,0.0023643190506845713,0.0013844161294400692,0.00012796229566447437,0.00042282009962946177,0.0011110546765848994,0.0024745843838900328,0.0015754956984892488,0.0007868325337767601,0.0031295428052544594,0.0006232885061763227,0.0011470556491985917,0.000262366869719699,5.07681215822231e-05,0.0010015921434387565,0.0005974025116302073,0.0009184631053358316
10,0.40572041273117065,0.006372510455548763,0.0012230840511620045,0.5343847274780273,0.0022584726102650166,0.004236641805619001,0.3126566708087921,0.008060725405812263,0.004542690236121416,0.002003725152462721,0.0006557054002769291,0.0009597446187399328,0.001574167050421238,0.0010936992475762963,0.00012144620268372819,0.0003627568657975644,0.0012176011223345995,0.0019630305469036102,0.0013146362034603953,0.000777822860982269,0.005129283759742975,0.00043382850708439946,0.0013247492024675012,0.00024032116925809532,4.699144483311102e-05,0.0009718103683553636,0.0006091449758969247,0.000778677174821496
