row,neutral,approval,realization,annoyance,confusion,disapproval,curiosity,optimism,caring,disappointment,anger,desire,amusement,admiration,sadness,excitement,joy,disgust,fear,surprise,love,gratitude,relief,nervousness,embarrassment,remorse,grief,pride
1,0.9345685839653015,0.037594255059957504,0.011295931413769722,0.009090756997466087,0.007131384685635567,0.004903727676719427,0.004313028883188963,0.004084584768861532,0.0023567506577819586,0.00200785044580698,0.0011973988730460405,0.0011238738661631942,0.0010945782996714115,0.0010352440876886249,0.0008547282195650041,0.0007910644635558128,0.000744559452868998,0.0007308490457944572,0.0005563306040130556,0.0004936525365337729,0.00048597046406939626,0.00045417086221277714,0.0003244064864702523,0.00032209118944592774,0.0003004097961820662,0.00025292884674854577,0.00017895561177283525,0.00014712871052324772
2,0.2943548560142517,0.04342418909072876,0.0558873675763607,0.00798395648598671,0.050451017916202545,0.043524835258722305,0.015173763036727905,0.2345649152994156,0.024592015892267227,0.037734661251306534,0.0012589667458087206,0.009994232095777988,0.001513229450210929,0.0017215983243659139,0.03244681656360626,0.0009496961138211191,0.0015343481209129095,0.0014405518304556608,0.00165061024017632,0.0023712993133813143,0.002031543757766485,0.01419219933450222,0.0035697389394044876,0.002288227900862694,0.0078122578561306,0.40500402450561523,0.0025204806588590145,0.0008646716014482081
3,0.8868712186813354,0.03473036736249924,0.016638945788145065,0.014696279540657997,0.007957781665027142,0.10960463434457779,0.0015545113710686564,0.002258486580103636,0.0010430535767227411,0.005180403124541044,0.0018140103202313185,0.0004650330520235002,0.001138224033638835,0.0017408478306606412,0.000990549917332828,0.0005439184606075287,0.0008787040133029222,0.0007616549264639616,0.0004353451367933303,0.000568933435715735,0.0004407001251820475,0.0005444420967251062,0.00033458435791544616,0.00024497840786352754,0.00045946091995574534,0.00019797627464868128,0.00020428610150702298,0.00016958369815256447
4,0.6825717687606812,0.008848466910421848,0.008619483560323715,0.019214341416954994,0.24383015930652618,0.00834735855460167,0.28461191058158875,0.003236103104427457,0.0011094348737969995,0.003173607401549816,0.0030302698723971844,0.0007009502151049674,0.0012859139824286103,0.0010397557634860277,0.000977013842202723,0.0008418501238338649,0.0004586179566103965,0.0014493411872535944,0.0008694265852682292,0.006380552891641855,0.0004905105452053249,0.00045586246415041387,0.00013894130825065076,0.0003781934501603246,0.0008188136853277683,0.0002794546016957611,0.0002721131022553891,6.821992428740487e-05
5,0.6843252182006836,0.0595700703561306,0.02807433344423771,0.03411655128002167,0.22761498391628265,0.047405488789081573,0.03446225821971893,0.018826918676495552,0.0023499662056565285,0.00997463334351778,0.002739147748798132,0.0014048912562429905,0.0010794572299346328,0.0009335970971733332,0.0011783151421695948,0.0007288872729986906,0.0009238810744136572,0.001502874307334423,0.0010987347923219204,0.0021061692386865616,0.0004970239824615419,0.0002515942614991218,0.0005291893612593412,0.0008429816225543618,0.0010389016242697835,0.00047977876965887845,0.0002749950217548758,0.00019536858599167317
6,0.9020683765411377,0.035511359572410583,0.025790350511670113,0.03527676686644554,0.005671905819326639,0.02444511093199253,0.0022539759520441294,0.003415084211155772,0.0007496482576243579,0.012984306551516056,0.0018461040453985333,0.0007449256954714656,0.0010979045182466507,0.0017541083507239819,0.001347305136732757,0.0005996656254865229,0.000523084425367415,0.0018458958948031068,0.0005304417572915554,0.0008910082979127765,0.00034622190287336707,0.00029688008362427354,0.0003408273041713983,0.00030360984965227544,0.0009508332586847246,0.00023882980167400092,0.0002311727439519018,0.0002081244601868093
7,0.9186139702796936,0.06708795577287674,0.017429741099476814,0.004569526761770248,0.007403532974421978,0.006207925267517567,0.0023008480202406645,0.004324825946241617,0.0008031187462620437,0.0019447412341833115,0.0009273412288166583,0.0006537142908200622,0.0013503567315638065,0.0021367010194808245,0.0008236744324676692,0.0009130782564170659,0.0008323454530909657,0.0009197740582749248,0.0007682907744310796,0.0006151112029328942,0.000723274948541075,0.0004882716457359493,0.00028413490508683026,0.00023899496591184288,0.00030641129706054926,0.00020230990776326507,0.00018066063057631254,0.0002007482835324481
8,0.8215978145599365,0.0842055156826973,0.05930561199784279,0.013048653490841389,0.027700068429112434,0.010879777371883392,0.011164683848619461,0.0070475260727107525,0.0007758510764688253,0.0034574628807604313,0.0009957662550732493,0.0009974088752642274,0.0021323002874851227,0.0018988694064319134,0.0008850780432112515,0.0034557790495455265,0.0012963260523974895,0.0026521612890064716,0.004910135641694069,0.008021087385714054,0.00034376390976831317,0.0003173236036673188,0.000667398446239531,0.0012721531093120575,0.001401200657710433,0.0001717784471111372,0.00029232611996121705,0.00029243621975183487
9,0.8872617483139038,0.07999721169471741,0.02945120260119438,0.021295882761478424,0.001810301560908556,0.013204566203057766,0.0006918846629559994,0.011389299295842648,0.004249886609613895,0.0063690305687487125,0.0015829605981707573,0.0028015675488859415,0.0005975323729217052,0.001685521798208356,0.0017340321792289615,0.0003896068665198982,0.0004547739226836711,0.0018068298231810331,0.0009041258017532527,0.00025464515783824027,0.00041392628918401897,0.0006913981633260846,0.0006437291740439832,0.0004423329373821616,0.0005337322945706546,0.000492831168230623,0.0002803665120154619,0.000357017241185531
10,0.7535883784294128,0.13371843099594116,0.07167567312717438,0.005785457789897919,0.10339880734682083,0.027658097445964813,0.0036471339408308268,0.046457547694444656,0.0016804137267172337,0.005272260867059231,0.0007323183817788959,0.0022140624932944775,0.0015840447740629315,0.0023299360182136297,0.0009973632404580712,0.0007595500792376697,0.0013925504172220826,0.0012555149151012301,0.000882992404513061,0.0013668942265212536,0.0018312400206923485,0.0012038769200444221,0.0008165555773302913,0.0005719049368053675,0.0005441341199912131,0.0006180161726661026,0.00029271599487401545,0.00036209559766575694
11,0.8062609434127808,0.17909984290599823,0.05852881446480751,0.02195928618311882,0.0031047638040035963,0.017644768580794334,0.00060579355340451,0.008176038041710854,0.002463339827954769,0.007406095042824745,0.0014527500607073307,0.0011099448893219233,0.0006352441851049662,0.005610169377177954,0.0013635240029543638,0.000662960228510201,0.0006757623632438481,0.0014388086274266243,0.0014678045408800244,0.0005201621679589152,0.00041679933201521635,0.0006188685656525195,0.0009647346450947225,0.0007799299783073366,0.0006615098682232201,0.0002560486609581858,0.00027725167456083,0.0006324577843770385
12,0.05956406146287918,0.027849514037370682,0.006744344253093004,0.18267905712127686,0.004409474786370993,0.41654953360557556,0.002073046052828431,0.0024415231309831142,0.006010073237121105,0.016468970105051994,0.03633841872215271,0.0018106254283338785,0.0026422496885061264,0.002581409877166152,0.0046024383045732975,0.0011355690658092499,0.0010094728786498308,0.36888763308525085,0.007570234127342701,0.0009167109965346754,0.0015603244537487626,0.003724128007888794,0.0008272600825875998,0.0010416870936751366,0.00915949884802103,0.0013672913191840053,0.0005197101854719222,0.00042015346116386354
