row,neutral,approval,disapproval,annoyance,realization,optimism,caring,anger,disappointment,desire,admiration,confusion,amusement,gratitude,disgust,joy,relief,curiosity,excitement,sadness,love,pride,embarrassment,fear,remorse,surprise,nervousness,grief
1,0.7790361046791077,0.17871983349323273,0.0395875908434391,0.032877467572689056,0.019258597865700722,0.008334394544363022,0.005478110630065203,0.003570505417883396,0.0027485669124871492,0.001856355695053935,0.0017545809969305992,0.0014005809789523482,0.0011442149989306927,0.001139063504524529,0.0011266201036050916,0.0010003671050071716,0.0008517785463482141,0.0007209514151327312,0.0006750584580004215,0.0006631065043620765,0.0005593309761025012,0.0003994750150013715,0.00039059214759618044,0.0003276327042840421,0.000261083769146353,0.0002542591537348926,0.00020020980446133763,0.00016018770111259073
2,0.40377381443977356,0.010319475084543228,0.002817129949107766,0.007487487979233265,0.006612504366785288,0.003447684459388256,0.001821847283281386,0.00190167932305485,0.0022813710384070873,0.0014429065631702542,0.0014275189023464918,0.18909995257854462,0.0014288334641605616,0.0005872705951333046,0.0010214510839432478,0.0010910907294601202,0.00021681428188458085,0.6282704472541809,0.0025394714903086424,0.0015752232866361737,0.0014889211161062121,6.282776303123683e-05,0.0008361978689208627,0.002042229287326336,0.0005028732703067362,0.006936713121831417,0.0009579189354553819,0.00033288661506958306
3,0.014204634353518486,0.07559660077095032,0.008881284855306149,0.006061410531401634,0.008284284733235836,0.7738296985626221,0.030778735876083374,0.0031876249704509974,0.005889111664146185,0.09379786252975464,0.8784598112106323,0.004319122992455959,0.004535847343504429,0.03241410106420517,0.0018189939437434077,0.014490323141217232,0.002346759894862771,0.006985404063016176,0.014603471383452415,0.00263219210319221,0.016094369813799858,0.011740799061954021,0.0005812016315758228,0.0018446987960487604,0.0026833019219338894,0.004237784538418055,0.0008832713356241584,0.0012981736799702048
4,0.2159963995218277,0.01255188137292862,0.005908892024308443,0.010994292795658112,0.010194912552833557,0.005282824393361807,0.0026719574816524982,0.0021866175811737776,0.012532863765954971,0.0016252208733931184,0.0029120231047272682,0.273278146982193,0.0011802185326814651,0.0005724524380639195,0.0012418193509802222,0.0009186311508528888,0.00028602578095160425,0.7023012638092041,0.0019017246086150408,0.005749455653131008,0.001561971614137292,8.694033022038639e-05,0.0014983637956902385,0.002002598252147436,0.0014900251990184188,0.00721735181286931,0.001571073429659009,0.0006821367423981428
5,0.5318100452423096,0.021942639723420143,0.004124377854168415,0.009742842055857182,0.013620464131236076,0.003577978117391467,0.0013791897799819708,0.0016933719161897898,0.003954064100980759,0.0008957282407209277,0.0025747150648385286,0.25684094429016113,0.0008593090460635722,0.0005458137602545321,0.0006706901476718485,0.0008858681540004909,0.0002598173450678587,0.3780228793621063,0.001315267407335341,0.001678640372119844,0.0011062598787248135,9.93764988379553e-05,0.0006575251463800669,0.000649940047878772,0.0005542368744499981,0.005170013755559921,0.00048530823551118374,0.0003298179944977164
6,0.27410945296287537,0.011716065928339958,0.006894765421748161,0.019877545535564423,0.023479631170630455,0.003968468401581049,0.0013111806474626064,0.0034417423885315657,0.0035436598118394613,0.0009084019111469388,0.0013120414223521948,0.6723772287368774,0.001849135267548263,0.0008949012262746692,0.0018827342428267002,0.0010658354731276631,0.0002724685182329267,0.40852245688438416,0.0017386780818924308,0.0014330693520605564,0.0011865320848301053,0.00010493818990653381,0.001688845339231193,0.0016061768401414156,0.0005947213503532112,0.014165631495416164,0.0009789182804524899,0.000385271298000589
7,0.052354685962200165,0.03032773546874523,0.005200997926294804,0.0035377549938857555,0.005551022011786699,0.056167203933000565,0.011447780765593052,0.003167110960930586,0.003749504452571273,0.02843012474477291,0.017408594489097595,0.11281692236661911,0.003981218673288822,0.003694344311952591,0.0019460688345134258,0.006555797066539526,0.0005494228680618107,0.7582966089248657,0.017345331609249115,0.002821245463564992,0.46111905574798584,0.00021449655469041318,0.0007802321342751384,0.007056511007249355,0.0022099390625953674,0.009611403569579124,0.002481052652001381,0.0007091183797456324
8,0.3454650938510895,0.5246579647064209,0.010319636203348637,0.004142500460147858,0.03555634990334511,0.05018038675189018,0.029978280887007713,0.0005256248987279832,0.0019166230922564864,0.007851033471524715,0.14032259583473206,0.003192211501300335,0.0005201155436225235,0.008576199412345886,0.0004034369485452771,0.004841228947043419,0.005167439579963684,0.0027285628020763397,0.005656114779412746,0.0006015260005369782,0.0019947278779000044,0.0036634872667491436,0.00023181524011306465,0.0004993826732970774,0.00040738144889473915,0.0007819899474270642,0.0005134570528753102,0.00034852532553486526
9,0.32485470175743103,0.012295405380427837,0.007006973028182983,0.02806890197098255,0.02681046351790428,0.0041886973194777966,0.0024764391127973795,0.0036322553642094135,0.017126543447375298,0.0014407953713089228,0.0009544884087517858,0.3637714684009552,0.0014670513337478042,0.00027797292568720877,0.0028085687663406134,0.0012700447114184499,0.0005115686799399555,0.4740523099899292,0.0019635444041341543,0.007116315420717001,0.0009148865356110036,0.00013559937360696495,0.004622865002602339,0.005783233791589737,0.0012668449198827147,0.013046073727309704,0.004881526809185743,0.0010106897680088878
10,0.5278170108795166,0.006990883033722639,0.0041280025616288185,0.020173948258161545,0.005564602557569742,0.002250062068924308,0.0026104403659701347,0.006049918942153454,0.0026048014406114817,0.0009658861090429127,0.000920728431083262,0.26115286350250244,0.002279666718095541,0.0004420758050400764,0.0019856044091284275,0.000747773505281657,0.0001697338157100603,0.4477734863758087,0.0009851617505773902,0.0021808904130011797,0.0008205933845601976,6.74691837048158e-05,0.0012896223925054073,0.002660577418282628,0.00042964157182723284,0.004474098328500986,0.001041956595145166,0.0004590476455632597
