row,neutral,confusion,curiosity,approval,realization,annoyance,disapproval,optimism,surprise,excitement,gratitude,caring,admiration,anger,disappointment,joy,fear,love,desire,disgust,sadness,amusement,nervousness,embarrassment,relief,remorse,grief,pride
1,0.8019967079162598,0.11178608238697052,0.10103880614042282,0.03605058044195175,0.013862748630344868,0.007726948708295822,0.004681616090238094,0.0037873766850680113,0.0036613696720451117,0.0022305757738649845,0.0019748511258512735,0.0015726314159110188,0.0013468824326992035,0.001318907830864191,0.0012823707656934857,0.0011219654697924852,0.0009650008287280798,0.0008439336088486016,0.0007769216899760067,0.000764007621910423,0.0006549783865921199,0.0006124104256741703,0.0004575915227178484,0.00043965259101241827,0.00043012815876863897,0.00030005170265212655,0.00022778622223995626,0.00016939427587203681
2,0.5887091159820557,0.002017380204051733,0.0009747191797941923,0.16112427413463593,0.013632961548864841,0.004356917925179005,0.0059544858522713184,0.008762373588979244,0.0007326687918975949,0.0060599688440561295,0.12072949856519699,0.005640935152769089,0.01577136479318142,0.00048520968994125724,0.0010047091636806726,0.007083276752382517,0.00029545274446718395,0.0005903023993596435,0.0014237073482945561,0.0004700593708548695,0.0004880396882072091,0.00048136242548935115,0.0002482374256942421,0.0002563241869211197,0.004597272723913193,0.0002374629257246852,0.00021608536189887673,0.001996939769014716
3,0.1314113885164261,0.033353377133607864,0.048010483384132385,0.005115558858960867,0.003822790924459696,0.4052121639251709,0.054811082780361176,0.0023925560526549816,0.005840500351041555,0.0013650176115334034,0.001597357215359807,0.0018423383589833975,0.0025120272766798735,0.5652961134910583,0.010427761822938919,0.0012213221052661538,0.0008164825267158449,0.0007220529369078577,0.000793171115219593,0.009769795462489128,0.0016037883469834924,0.0033353625331074,0.00046272907638922334,0.002709212712943554,0.0001999099476961419,0.0004072179726790637,0.00043294235365465283,0.00029363363864831626
4,0.13955309987068176,0.09480056911706924,0.7897170186042786,0.03324927017092705,0.005292292218655348,0.006586925126612186,0.015362448990345001,0.06331061571836472,0.006591610610485077,0.012896819040179253,0.001358255511149764,0.008266921155154705,0.006180181168019772,0.002340666949748993,0.004123394843190908,0.001963180024176836,0.0027582976035773754,0.004662800580263138,0.06379029154777527,0.0014173330273479223,0.0018314465414732695,0.0016189320012927055,0.0013644879218190908,0.0006251113372854888,0.0004835106374230236,0.0011391687439754605,0.0004139258526265621,0.00019338403944857419
5,0.08243346959352493,0.06361475586891174,0.8566007614135742,0.03190105780959129,0.004021977540105581,0.004586677998304367,0.005019237287342548,0.008272286504507065,0.004302496090531349,0.010955974459648132,0.001926978467963636,0.004272141493856907,0.09312732517719269,0.0019815813284367323,0.0024066600017249584,0.004491100087761879,0.001110686338506639,0.010820739902555943,0.008138049393892288,0.0011000549420714378,0.0019801133312284946,0.004796960856765509,0.0007030529086478055,0.00048397082719020545,0.0004341737658251077,0.0007756692939437926,0.0004367979709059,0.00020218861754983664
6,0.1705836057662964,0.8726658821105957,0.031030215322971344,0.035367824137210846,0.05264352634549141,0.053318966180086136,0.06009972468018532,0.007174466736614704,0.008492415770888329,0.003570105182006955,0.0016248603351414204,0.0016688924515619874,0.007977165281772614,0.005536923184990883,0.02825508639216423,0.0036018691025674343,0.004008779302239418,0.0021933214738965034,0.0016785914776846766,0.0038381987251341343,0.0024433170910924673,0.0014110746560618281,0.0055453055538237095,0.004349485971033573,0.0012283179676160216,0.0014778085751459002,0.0006502860924229026,0.0007626601145602763
7,0.706467866897583,0.14610682427883148,0.11623598635196686,0.04546482488512993,0.021885424852371216,0.01527441293001175,0.019660109654068947,0.004939644131809473,0.0028625926934182644,0.0006820282433182001,0.00030152828549034894,0.001363885821774602,0.002022356493398547,0.0015318641671910882,0.0075906673446297646,0.00042651535477489233,0.0009558224701322615,0.0006514929700642824,0.0009391538915224373,0.0012126121437177062,0.0016644098795950413,0.000565406633540988,0.0005538613768294454,0.0008857530192472041,0.0002884342393372208,0.000454829161753878,0.00031888968078419566,0.00012401882850099355
8,0.3951666057109833,0.20014506578445435,0.5854436755180359,0.033755481243133545,0.006857805885374546,0.006377835758030415,0.004643416963517666,0.004548209719359875,0.0035446351394057274,0.0016264530131593347,0.0006866780458949506,0.002064270433038473,0.003989342134445906,0.0015482694143429399,0.0020574273075908422,0.0007287602056749165,0.0008435786585323513,0.0028255830984562635,0.0017284727655351162,0.0009751980542205274,0.001157158287242055,0.0010819167364388704,0.0004200977855361998,0.0004150932945776731,0.00021068127534817904,0.0004660502017941326,0.00025000720052048564,7.45175639167428e-05
9,0.7302178144454956,0.18314215540885925,0.0678834617137909,0.03767517954111099,0.055258650332689285,0.013961092568933964,0.011124907992780209,0.007918525487184525,0.004130816552788019,0.0008787881815806031,0.00034837351995520294,0.0012433584779500961,0.001016974332742393,0.001131897559389472,0.00945176463574171,0.0006555488216690719,0.0014428988797590137,0.0006190894055180252,0.001158634782768786,0.001187391928397119,0.0022534376475960016,0.0007316316477954388,0.00105355866253376,0.001510903355665505,0.00047339225420728326,0.0007128229481168091,0.00044329979573376477,0.00017355124873574823
10,0.7030770778656006,0.053672824054956436,0.004287925083190203,0.1656016707420349,0.0441984087228775,0.008192089386284351,0.07131635397672653,0.0056820400059223175,0.0008320187334902585,0.0004621070984285325,0.0006674572359770536,0.0014317987952381372,0.0018533752299845219,0.0010028171818703413,0.003577357390895486,0.0006773168570362031,0.0005833277245983481,0.00112691312097013,0.0009063407778739929,0.0011287276865914464,0.000773658393882215,0.0006498998263850808,0.000353367009665817,0.0004202461859676987,0.0005396915366873145,0.0003615431778598577,0.00018447928596287966,0.00020997895626351237
11,0.14919714629650116,0.003036182140931487,0.004924094304442406,0.503568708896637,0.017983557656407356,0.0026104790158569813,0.005020954646170139,0.02690226584672928,0.001068576006218791,0.004636596888303757,0.0023917583748698235,0.0037770585622638464,0.4593961238861084,0.00045540707651525736,0.0023349104449152946,0.0019642305560410023,0.0005833510658703744,0.007117909844964743,0.004824579227715731,0.0006938278675079346,0.0007521770894527435,0.00047981171519495547,0.0002617225400172174,0.0001805702195269987,0.0010460448684170842,0.0002765597018878907,0.00020713322737719864,0.0016530990833416581
12,0.6917659044265747,0.18759891390800476,0.1449204981327057,0.09254197776317596,0.017428532242774963,0.014239784330129623,0.03328809142112732,0.009587842971086502,0.0024125573690980673,0.000989560387097299,0.0002976404794026166,0.0035121107939630747,0.0017719081370159984,0.0017117693787440658,0.004261157475411892,0.000767888908740133,0.0010094200260937214,0.0006899645086377859,0.00140571896918118,0.0009725680574774742,0.001247583539225161,0.0006575417937710881,0.0006533698178827763,0.00047064333921298385,0.00048078165855258703,0.00031679641688242555,0.00026972926571033895,0.0001592828193679452
13,0.29424092173576355,0.43193668127059937,0.04809882491827011,0.3139995336532593,0.06302038580179214,0.019468246027827263,0.07611087709665298,0.025169450789690018,0.0055172378197312355,0.0018265106482431293,0.001257656142115593,0.0024593942798674107,0.005201614461839199,0.0017828784184530377,0.005160893779247999,0.0015481638256460428,0.001163169159553945,0.0011033229529857635,0.0017366631655022502,0.0017035908531397581,0.000679364544339478,0.0013438148889690638,0.0009922239696606994,0.0011920365504920483,0.0011504763970151544,0.0005500912666320801,0.0002787922276183963,0.0004507979319896549
14,0.6020249128341675,0.003968470264226198,0.0010604155249893665,0.4260469079017639,0.0531320758163929,0.008017453365027905,0.013357264921069145,0.008483233861625195,0.0005705563235096633,0.000557015067897737,0.0012877837289124727,0.0014026418793946505,0.006108222994953394,0.000865472829900682,0.0032106097787618637,0.0007627956802025437,0.00036927935434505343,0.0010295086540281773,0.0008614507969468832,0.0009103631018660963,0.0006619124906137586,0.0006837946129962802,0.0002172676904592663,0.00028303125873208046,0.0008297061431221664,0.00029006044496782124,0.0001722716842778027,0.0004732122179120779
15,0.05753972753882408,0.0018376810476183891,0.008386090397834778,0.03965064883232117,0.005586623214185238,0.009935635142028332,0.004208246245980263,0.03619186207652092,0.000867740367539227,0.010891965590417385,0.0018848564941436052,0.004811261780560017,0.030946917831897736,0.002016622107475996,0.004247177392244339,0.07689402997493744,0.0005411585443653166,0.01692853309214115,0.17063865065574646,0.0025707934983074665,0.0035031388979405165,0.7107045650482178,0.0006571721751242876,0.0008819325594231486,0.0017717428272590041,0.00186770292930305,0.0006652539013884962,0.0012100102612748742
16,0.2997358441352844,0.3185405135154724,0.016487710177898407,0.059004418551921844,0.42515769600868225,0.014966047368943691,0.00888865813612938,0.019264988601207733,0.018094532191753387,0.003306349739432335,0.0009753215708769858,0.0020150707568973303,0.0014376949984580278,0.0017253769328817725,0.018190717324614525,0.003952453378587961,0.022278720512986183,0.0018782271072268486,0.0026455677580088377,0.006749824620783329,0.008107243105769157,0.005195959471166134,0.023289060220122337,0.009840792044997215,0.0025110847782343626,0.0018011368811130524,0.0014943171991035342,0.0006709452718496323
17,0.24629920721054077,0.0034061407204717398,0.006348196882754564,0.009698880836367607,0.08668249100446701,0.017977435141801834,0.002378258388489485,0.0029025892727077007,0.5285254120826721,0.11047317087650299,0.00133394671138376,0.0008300066692754626,0.004605543799698353,0.006314996164292097,0.008418277837336063,0.02510037086904049,0.0077055105939507484,0.0031787932384759188,0.002751031657680869,0.003577272640541196,0.005555891431868076,0.009970373474061489,0.004111629445105791,0.005199887789785862,0.003393446560949087,0.0006037352723069489,0.0023119805846363306,0.0018143029883503914
18,0.41754084825515747,0.03591211885213852,0.3726213872432709,0.20621336996555328,0.008827507495880127,0.010201766155660152,0.004471535328775644,0.008157895877957344,0.003449044656008482,0.004237196873873472,0.000546415220014751,0.009269287809729576,0.0023493715561926365,0.003351901425048709,0.0012652225559577346,0.0014154709642753005,0.0008723076316528022,0.004037897568196058,0.0041551548056304455,0.00071233871858567,0.001070181024260819,0.0009389485348947346,0.0005696043372154236,0.0003086168726440519,0.0005091645289212465,0.00033097114646807313,0.0002660496102180332,0.0001338666770607233
19,0.836998462677002,0.0023468472063541412,0.0010067424736917019,0.0694049522280693,0.011774158105254173,0.01735527440905571,0.03271757438778877,0.007839946076273918,0.0003457416605670005,0.0010591030586510897,0.012617901898920536,0.01259833574295044,0.0012377870734781027,0.0018801973201334476,0.002005351474508643,0.0018748983275145292,0.0005608227220363915,0.0004574840422719717,0.001690366305410862,0.0006783203571103513,0.0008932375349104404,0.00058555364375934,0.0003293934860266745,0.0004175164795015007,0.001900421571917832,0.0004372968978714198,0.0002486102457623929,0.0004801473405677825
20,0.7210417985916138,0.002176819369196892,0.0007432841812260449,0.14715468883514404,0.09276153147220612,0.0068610189482569695,0.00941344816237688,0.005676541477441788,0.0008657620055601001,0.0006817448884248734,0.0014739492908120155,0.0020564142614603043,0.019511926919221878,0.0008545108721591532,0.01856146566569805,0.0013752504019066691,0.0017538387328386307,0.0010713051306083798,0.00129581312648952,0.0017662250902503729,0.021735554561018944,0.0007866297382861376,0.0009370315237902105,0.0009038165444508195,0.002333882264792919,0.0009768700692802668,0.0016740239225327969,0.0012149839894846082
21,0.8753828406333923,0.0016781882150098681,0.0004580220556817949,0.09361834079027176,0.03506019338965416,0.008367798291146755,0.00921111460775137,0.004891021177172661,0.0005299705080688,0.0006261088419705629,0.0008233852568082511,0.0007298996788449585,0.004342678934335709,0.0007921612123027444,0.0052755833603441715,0.0007184387650340796,0.00048764905659481883,0.0007088927668519318,0.0007759971194900572,0.0012675704201683402,0.0010404592612758279,0.0008960714330896735,0.00019546490511856973,0.0003901362942997366,0.000533510756213218,0.00027265612152405083,0.00019282667199149728,0.00037829260691069067
22,0.3105478286743164,0.414931058883667,0.3343786299228668,0.06394709646701813,0.058029621839523315,0.008409521542489529,0.007091551553457975,0.0058593107387423515,0.02711114101111889,0.0036598171573132277,0.0007916160393506289,0.0009635037858970463,0.00355854001827538,0.0014324976364150643,0.0033917054533958435,0.0010297721019014716,0.0030308205168694258,0.0016907178796827793,0.001431562122888863,0.003757133847102523,0.001833612215705216,0.0014974160585552454,0.0012643912341445684,0.0017303744098171592,0.00046842184383422136,0.0005649995873682201,0.0004952839808538556,0.00018992158584296703
